
========================================================================================
  EPL (Premier League)   OOS: 218 matches
  Profitable: 255 | Losing: 1603 | Baseline rows: 14
========================================================================================

  BASELINE (no filters) per odds range:
  Label                                                   n     WR  Odds    ROI%    EV%
  ------------------------------------------------------------------------------------
  away[2.0,2.5) form>=1.8 mkt>=0.45                       5  20.0%  2.03  -59.0% -59.4%
  away[2.0,2.5) elo<=-30 form>=1.8 mkt>=0.45              5  20.0%  2.03  -59.0% -59.4%
  away[2.0,2.5) xg>=1.5 form>=1.8 mkt>=0.4                5  20.0%  2.05  -59.0% -59.0%
  away[2.2,2.8) xg>=1.2 elo<=-30 form>=1.5 mkt>=0.35      5  20.0%  2.47  -56.0% -50.5%
  away[2.2,2.8) xg>=1.2 elo<=-30 form>=1.5                5  20.0%  2.47  -56.0% -50.5%
  away[1.8,2.2) xg>=1.2 mkt>=0.4                         17  23.5%  1.97  -55.5% -53.6%
  away[1.8,2.2) xg>=1.2 elo<=-30 mkt>=0.4                17  23.5%  1.97  -55.5% -53.6%
  away[1.8,2.2) xg>=1.2 elo<=-30                         17  23.5%  1.97  -55.5% -53.6%
  away[1.8,2.2) xg>=1.2 mkt>=0.35                        17  23.5%  1.97  -55.5% -53.6%
  away[1.8,2.2) xg>=1.2 elo<=-30 mkt>=0.35               17  23.5%  1.97  -55.5% -53.6%
  away[1.8,2.2) xg>=1.2                                  17  23.5%  1.97  -55.5% -53.6%
  home[1.55,1.8) elo>=30 form>=1.8 mkt>=0.55              7  28.6%  1.59  -55.1% -54.5%
  away[1.7,2.0) xg>=1.0 elo<=-75 mkt>=0.45               12  25.0%  1.82  -54.1% -54.5%
  away[1.7,2.0) xg>=1.0 elo<=-75 mkt>=0.4                12  25.0%  1.82  -54.1% -54.5%
  away[1.7,2.0) xg>=1.0 elo<=-75 mkt>=0.35               12  25.0%  1.82  -54.1% -54.5%
  away[1.7,2.0) xg>=1.0 elo<=-75                         12  25.0%  1.82  -54.1% -54.5%
  away[2.5,3.5) xg>=1.2 elo<=-30                          6  16.7%  2.67  -53.3% -55.5%
  away[2.0,2.5) xg>=1.2 elo<=-75 mkt>=0.4                 9  22.2%  2.12  -52.8% -53.0%
  away[2.0,2.5) xg>=1.2 elo<=-75 mkt>=0.35                9  22.2%  2.12  -52.8% -53.0%
  away[2.0,2.5) xg>=1.2 elo<=-75                          9  22.2%  2.12  -52.8% -53.0%
  away[2.0,2.5) xg>=1.0                                  18  22.2%  2.19  -52.5% -51.3%
  away[2.0,2.5) xg>=1.0 mkt>=0.35                        18  22.2%  2.19  -52.5% -51.3%
  home[1.55,1.8) form>=1.5 mkt>=0.55                     10  30.0%  1.61  -51.6% -51.7%
  away[2.5,3.5) xg>=1.2 mkt>=0.35                         5  20.0%  2.57  -50.0% -48.6%
  away[2.2,2.8) xg>=1.5                                   5  20.0%  2.53  -50.0% -49.3%
  away[2.2,2.8) xg>=1.5 form>=1.5 mkt>=0.35               5  20.0%  2.53  -50.0% -49.3%
  away[2.2,2.8) xg>=1.5 form>=1.5                         5  20.0%  2.53  -50.0% -49.3%
  away[2.2,2.8) xg>=1.5 mkt>=0.35                         5  20.0%  2.53  -50.0% -49.3%
  away[1.8,2.2) xg>=1.5 elo<=-30 mkt>=0.35               15  26.7%  1.96  -49.6% -47.8%
  away[1.8,2.2) xg>=1.5 mkt>=0.4                         15  26.7%  1.96  -49.6% -47.8%
  away[1.8,2.2) xg>=1.5 elo<=-30 mkt>=0.4                15  26.7%  1.96  -49.6% -47.8%
  away[1.8,2.2) xg>=1.5 elo<=-30                         15  26.7%  1.96  -49.6% -47.8%
  away[1.8,2.2) xg>=1.2 elo<=-75 mkt>=0.35               15  26.7%  1.96  -49.6% -47.8%
  away[1.8,2.2) xg>=1.2 elo<=-75 mkt>=0.4                15  26.7%  1.96  -49.6% -47.8%
  away[1.8,2.2) xg>=1.5                                  15  26.7%  1.96  -49.6% -47.8%
  away[1.8,2.2) xg>=1.2 elo<=-75                         15  26.7%  1.96  -49.6% -47.8%
  away[1.8,2.2) xg>=1.5 mkt>=0.35                        15  26.7%  1.96  -49.6% -47.8%
  home[1.7,2.0) form>=1.8 mkt>=0.5                        7  28.6%  1.78  -49.3% -49.2%
  away[2.2,2.8) xg>=1.2                                   9  22.2%  2.48  -47.8% -45.0%
  away[2.2,2.8) xg>=1.2 mkt>=0.35                         9  22.2%  2.48  -47.8% -45.0%
  home[1.55,1.8) xg>=1.0 elo>=30 form>=1.8 mkt>=0.5       6  33.3%  1.60  -47.7% -46.8%
  home[1.55,1.8) xg>=1.0 elo>=30 form>=1.8                6  33.3%  1.60  -47.7% -46.8%
  home[1.55,1.8) xg>=1.0 elo>=30 form>=1.8 mkt>=0.45      6  33.3%  1.60  -47.7% -46.8%
  away[2.0,2.5) xg>=1.0 form>=1.8                         8  25.0%  2.16  -47.5% -45.9%
  away[2.0,2.5) form>=1.8 mkt>=0.4                        8  25.0%  2.09  -47.5% -47.8%
  away[2.0,2.5) xg>=1.0 form>=1.8 mkt>=0.35               8  25.0%  2.16  -47.5% -45.9%
  away[2.0,2.5) elo<=-30 form>=1.8 mkt>=0.4               8  25.0%  2.09  -47.5% -47.8%
  home[1.8,2.2) mkt>=0.5                                 14  28.6%  1.83  -47.3% -47.7%
  away[2.0,2.5) xg>=1.2 form>=1.5 mkt>=0.35               8  25.0%  2.12  -46.9% -46.9%
  away[2.0,2.5) xg>=1.2 elo<=-30 form>=1.5                8  25.0%  2.12  -46.9% -46.9%
  away[2.0,2.5) xg>=1.2 elo<=-30 form>=1.5 mkt>=0.35      8  25.0%  2.12  -46.9% -46.9%
  away[2.0,2.5) xg>=1.2 form>=1.5                         8  25.0%  2.12  -46.9% -46.9%
  away[2.0,2.5) xg>=1.0 elo<=-30                         16  25.0%  2.17  -46.6% -45.9%
  away[2.0,2.5) xg>=1.0 elo<=-30 mkt>=0.35               16  25.0%  2.17  -46.6% -45.9%
  home[1.8,2.2) xg>=1.0 mkt>=0.5                          7  28.6%  1.84  -46.4% -47.6%
  home[1.55,1.8) form>=1.8                                9  33.3%  1.62  -46.2% -45.9%
  home[1.55,1.8) form>=1.8 mkt>=0.5                       9  33.3%  1.62  -46.2% -45.9%
  home[1.55,1.8) form>=1.8 mkt>=0.45                      9  33.3%  1.62  -46.2% -45.9%
  away[1.8,2.2) xg>=1.2 elo<=-30 mkt>=0.45               14  28.6%  1.93  -46.0% -44.8%
  away[1.8,2.2) xg>=1.2 mkt>=0.45                        14  28.6%  1.93  -46.0% -44.8%
  home[1.55,1.8) elo>=75 mkt>=0.55                       12  33.3%  1.62  -45.5% -45.9%
