
===============================================================================================================================================================================
  EPL (Premier League)
===============================================================================================================================================================================
  Filter                                                  n_tot  AvgROI%  AvgWR%   Win%   W/T  2023-08         2023-11         2024-02         2024-05         2024-08         2024-11         2025-02         2025-05         2025-08         2025-11         2026-02       
  ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------

  ── ★ СТАБІЛЬНО ПРИБУТКОВІ (avg>0, win%>=60%)  (355) ──
  away[1.55,1.8) elo<=-75 form>=1.5 mkt>=0.4                 31   +17.5%   71.9%    67%  4/6  +62%/100%/n4    +1%/60%/n5      +19%/71%/n7     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -18%/50%/n6    ★
  away[1.55,1.8) elo<=-75 form>=1.5 mkt>=0.45                31   +17.5%   71.9%    67%  4/6  +62%/100%/n4    +1%/60%/n5      +19%/71%/n7     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -18%/50%/n6    ★
  away[1.55,1.8) xg>=1.8 elo<=-30 form>=1.8                  21   +17.3%   72.2%    83%  5/6  +57%/100%/n3    +13%/67%/n3     +25%/75%/n4     —               —               —               —               —               +6%/67%/n3      +20%/75%/n4     -17%/50%/n4    ★
  away[1.55,1.8) xg>=1.8 elo<=-30 form>=1.8 mkt>=0.35        21   +17.3%   72.2%    83%  5/6  +57%/100%/n3    +13%/67%/n3     +25%/75%/n4     —               —               —               —               —               +6%/67%/n3      +20%/75%/n4     -17%/50%/n4    ★
  away[1.55,1.8) xg>=1.8 elo<=-30 form>=1.8 mkt>=0.4         21   +17.3%   72.2%    83%  5/6  +57%/100%/n3    +13%/67%/n3     +25%/75%/n4     —               —               —               —               —               +6%/67%/n3      +20%/75%/n4     -17%/50%/n4    ★
  away[1.55,1.8) xg>=1.8 elo<=-30 form>=1.8 mkt>=0.45        21   +17.3%   72.2%    83%  5/6  +57%/100%/n3    +13%/67%/n3     +25%/75%/n4     —               —               —               —               —               +6%/67%/n3      +20%/75%/n4     -17%/50%/n4    ★
  away[1.55,1.8) elo<=-30                                    50   +17.2%   71.6%    83%  5/6  +62%/100%/n7    +10%/67%/n9     +34%/80%/n10    —               —               —               —               —               +20%/75%/n4     +3%/64%/n11     -26%/44%/n9    ★
  away[1.55,1.8) elo<=-30 mkt>=0.35                          50   +17.2%   71.6%    83%  5/6  +62%/100%/n7    +10%/67%/n9     +34%/80%/n10    —               —               —               —               —               +20%/75%/n4     +3%/64%/n11     -26%/44%/n9    ★
  away[1.55,1.8) elo<=-30 mkt>=0.4                           50   +17.2%   71.6%    83%  5/6  +62%/100%/n7    +10%/67%/n9     +34%/80%/n10    —               —               —               —               —               +20%/75%/n4     +3%/64%/n11     -26%/44%/n9    ★
  away[1.55,1.8) elo<=-30 mkt>=0.45                          50   +17.2%   71.6%    83%  5/6  +62%/100%/n7    +10%/67%/n9     +34%/80%/n10    —               —               —               —               —               +20%/75%/n4     +3%/64%/n11     -26%/44%/n9    ★
  away[2.5,3.5) xg>=1.2                                      32   +17.1%   41.0%    67%  4/6  +50%/50%/n4     +5%/38%/n8      -5%/33%/n6      —               —               —               —               —               +48%/50%/n6     -30%/25%/n4     +35%/50%/n4    ★
  away[1.55,1.8) xg>=1.2 elo<=-30 form>=1.5                  31   +17.0%   71.8%    67%  4/6  +58%/100%/n4    +1%/60%/n5      +43%/86%/n7     —               —               —               —               —               +20%/75%/n4     -20%/50%/n6     -1%/60%/n5     ★
  away[1.55,1.8) xg>=1.2 elo<=-30 form>=1.5 mkt>=0.35        31   +17.0%   71.8%    67%  4/6  +58%/100%/n4    +1%/60%/n5      +43%/86%/n7     —               —               —               —               —               +20%/75%/n4     -20%/50%/n6     -1%/60%/n5     ★
  away[1.55,1.8) xg>=1.2 elo<=-30 form>=1.5 mkt>=0.4         31   +17.0%   71.8%    67%  4/6  +58%/100%/n4    +1%/60%/n5      +43%/86%/n7     —               —               —               —               —               +20%/75%/n4     -20%/50%/n6     -1%/60%/n5     ★
  away[1.55,1.8) xg>=1.2 elo<=-30 form>=1.5 mkt>=0.45        31   +17.0%   71.8%    67%  4/6  +58%/100%/n4    +1%/60%/n5      +43%/86%/n7     —               —               —               —               —               +20%/75%/n4     -20%/50%/n6     -1%/60%/n5     ★
  away[1.55,1.8) xg>=1.5 elo<=-30                            31   +16.9%   72.1%    67%  4/6  +58%/100%/n4    +31%/80%/n5     +44%/86%/n7     —               —               —               —               —               +6%/67%/n3      -20%/50%/n6     -18%/50%/n6    ★
  away[1.55,1.8) xg>=1.5 elo<=-30 mkt>=0.35                  31   +16.9%   72.1%    67%  4/6  +58%/100%/n4    +31%/80%/n5     +44%/86%/n7     —               —               —               —               —               +6%/67%/n3      -20%/50%/n6     -18%/50%/n6    ★
  away[1.55,1.8) xg>=1.5 elo<=-30 mkt>=0.4                   31   +16.9%   72.1%    67%  4/6  +58%/100%/n4    +31%/80%/n5     +44%/86%/n7     —               —               —               —               —               +6%/67%/n3      -20%/50%/n6     -18%/50%/n6    ★
  away[1.55,1.8) xg>=1.5 elo<=-30 mkt>=0.45                  31   +16.9%   72.1%    67%  4/6  +58%/100%/n4    +31%/80%/n5     +44%/86%/n7     —               —               —               —               —               +6%/67%/n3      -20%/50%/n6     -18%/50%/n6    ★
  away[1.55,1.8) xg>=1.5 elo<=-75 form>=1.5                  22   +16.5%   71.3%    60%  3/5  +57%/100%/n3    +13%/67%/n3     +33%/80%/n5     —               —               —               —               —               —               -20%/50%/n6     -1%/60%/n5     ★
