ws_gap,odds_min,odds_max,ev_min,f1_n,f1_wr,f1_roi,f2_n,f2_wr,f2_roi,avg_roi
120,2.0,3.0,0.05,11,0.6363636363636364,39.81818181818183,16,0.375,-15.625,12.096590909090914
120,2.0,3.0,0.08,11,0.6363636363636364,39.81818181818183,16,0.375,-15.625,12.096590909090914
120,2.0,2.8,0.05,11,0.6363636363636364,39.81818181818183,16,0.375,-15.625,12.096590909090914
120,2.0,3.0,0.03,11,0.6363636363636364,39.81818181818183,16,0.375,-15.625,12.096590909090914
120,2.0,2.8,0.0,11,0.6363636363636364,39.81818181818183,16,0.375,-15.625,12.096590909090914
120,2.0,2.8,0.03,11,0.6363636363636364,39.81818181818183,16,0.375,-15.625,12.096590909090914
120,2.0,3.0,0.0,11,0.6363636363636364,39.81818181818183,16,0.375,-15.625,12.096590909090914
120,2.0,2.8,0.1,11,0.6363636363636364,39.81818181818183,16,0.375,-15.625,12.096590909090914
120,2.0,2.8,0.08,11,0.6363636363636364,39.81818181818183,16,0.375,-15.625,12.096590909090914
90,2.0,2.8,0.08,63,0.5396825396825397,20.20634920634921,92,0.4673913043478261,3.478260869565216,11.842305037957212
90,2.0,2.8,0.05,63,0.5396825396825397,20.20634920634921,92,0.4673913043478261,3.478260869565216,11.842305037957212
90,2.0,2.8,0.03,63,0.5396825396825397,20.20634920634921,92,0.4673913043478261,3.478260869565216,11.842305037957212
90,2.0,2.8,0.0,63,0.5396825396825397,20.20634920634921,92,0.4673913043478261,3.478260869565216,11.842305037957212
90,2.0,2.8,0.1,63,0.5396825396825397,20.20634920634921,92,0.4673913043478261,3.478260869565216,11.842305037957212
90,2.0,3.5,0.05,69,0.5217391304347826,18.130434782608702,101,0.45544554455445546,3.5643564356435635,10.847395609126133
90,2.0,3.5,0.0,69,0.5217391304347826,18.130434782608702,101,0.45544554455445546,3.5643564356435635,10.847395609126133
90,2.0,3.5,0.08,69,0.5217391304347826,18.130434782608702,101,0.45544554455445546,3.5643564356435635,10.847395609126133
90,2.0,3.5,0.1,69,0.5217391304347826,18.130434782608702,101,0.45544554455445546,3.5643564356435635,10.847395609126133
90,2.0,3.5,0.03,69,0.5217391304347826,18.130434782608702,101,0.45544554455445546,3.5643564356435635,10.847395609126133
50,2.0,2.5,0.08,114,0.5087719298245614,13.982456140350877,201,0.47761194029850745,6.064676616915422,10.023566378633149
50,2.0,2.5,0.05,114,0.5087719298245614,13.982456140350877,201,0.47761194029850745,6.064676616915422,10.023566378633149
50,2.0,2.5,0.03,114,0.5087719298245614,13.982456140350877,201,0.47761194029850745,6.064676616915422,10.023566378633149
50,2.0,2.5,0.0,114,0.5087719298245614,13.982456140350877,201,0.47761194029850745,6.064676616915422,10.023566378633149
