ws_gap,odds_min,odds_max,ev_min,f1_n,f1_wr,f1_roi,f2_n,f2_wr,f2_roi,avg_roi
80,2.0,3.0,0.05,93,0.5053763440860215,16.46236559139785,131,0.45038167938931295,1.7938931297709921,9.128129360584422
80,2.0,3.0,0.1,93,0.5053763440860215,16.46236559139785,131,0.45038167938931295,1.7938931297709921,9.128129360584422
80,2.0,3.0,0.03,93,0.5053763440860215,16.46236559139785,131,0.45038167938931295,1.7938931297709921,9.128129360584422
40,2.0,2.5,0.08,125,0.504,12.471999999999998,234,0.47435897435897434,5.286324786324788,8.879162393162392
40,2.0,2.5,0.1,125,0.504,12.471999999999998,232,0.4698275862068966,4.3836206896551735,8.427810344827586
80,1.75,2.5,0.03,130,0.5692307692307692,17.42307692307693,200,0.485,-0.7599999999999987,8.331538461538466
80,1.75,2.5,0.05,130,0.5692307692307692,17.42307692307693,197,0.48223350253807107,-1.0913705583756346,8.165853182350649
80,1.75,2.5,0.0,132,0.5681818181818182,16.969696969696972,200,0.485,-0.7599999999999987,8.104848484848487
90,1.75,3.0,0.03,115,0.5652173913043478,17.75652173913044,173,0.47398843930635837,-1.9942196531791894,7.881151042975626
60,2.2,2.8,0.0,87,0.5057471264367817,22.24137931034483,126,0.3888888888888889,-6.785714285714286,7.727832512315272
60,2.2,2.8,0.03,87,0.5057471264367817,22.24137931034483,126,0.3888888888888889,-6.785714285714286,7.727832512315272
60,2.2,2.8,0.05,87,0.5057471264367817,22.24137931034483,126,0.3888888888888889,-6.785714285714286,7.727832512315272
60,2.2,2.8,0.08,87,0.5057471264367817,22.24137931034483,126,0.3888888888888889,-6.785714285714286,7.727832512315272
60,2.2,2.8,0.1,87,0.5057471264367817,22.24137931034483,126,0.3888888888888889,-6.785714285714286,7.727832512315272
70,2.2,2.8,0.1,71,0.49295774647887325,18.098591549295772,98,0.40816326530612246,-2.785714285714283,7.656438631790745
70,2.2,2.8,0.0,71,0.49295774647887325,18.098591549295772,98,0.40816326530612246,-2.785714285714283,7.656438631790745
70,2.2,2.8,0.05,71,0.49295774647887325,18.098591549295772,98,0.40816326530612246,-2.785714285714283,7.656438631790745
70,2.2,2.8,0.08,71,0.49295774647887325,18.098591549295772,98,0.40816326530612246,-2.785714285714283,7.656438631790745
70,2.2,2.8,0.03,71,0.49295774647887325,18.098591549295772,98,0.40816326530612246,-2.785714285714283,7.656438631790745
90,1.75,3.0,0.05,115,0.5652173913043478,17.75652173913044,172,0.47093023255813954,-2.4709302325581364,7.642795753286153
90,1.75,2.5,0.03,108,0.5648148148148148,15.314814814814815,161,0.4906832298136646,-0.03105590062111873,7.641879457096848
90,1.75,3.0,0.0,117,0.5641025641025641,17.239316239316242,173,0.47398843930635837,-1.9942196531791894,7.622548293068526
80,1.75,2.5,0.08,129,0.5658914728682171,16.899224806201556,193,0.47668393782383417,-1.8652849740932658,7.516969916054145
90,1.75,2.5,0.05,108,0.5648148148148148,15.314814814814815,160,0.4875,-0.53125,7.391782407407407
90,1.75,2.5,0.0,110,0.5636363636363636,14.809090909090909,161,0.4906832298136646,-0.03105590062111873,7.389017504234895
50,2.0,2.8,0.05,144,0.4930555555555556,14.027777777777775,257,0.4357976653696498,-0.513618677042802,6.757079550367487
50,2.0,2.8,0.08,144,0.4930555555555556,14.027777777777775,257,0.4357976653696498,-0.513618677042802,6.757079550367487
50,2.0,2.8,0.0,144,0.4930555555555556,14.027777777777775,257,0.4357976653696498,-0.513618677042802,6.757079550367487
50,2.0,2.8,0.03,144,0.4930555555555556,14.027777777777775,257,0.4357976653696498,-0.513618677042802,6.757079550367487
90,1.75,3.0,0.08,114,0.5614035087719298,17.166666666666664,169,0.46153846153846156,-3.964497041420119,6.601084812623273
90,1.75,2.8,0.03,112,0.5625,15.749999999999996,168,0.47619047619047616,-2.6488095238095224,6.550595238095237
