date,league,side,actual,won,odds,model_prob,ev
2025-05-17 18:45:00,Serie A,away,away,True,2.25,0.6638870711195449,0.49374591001897605
2025-05-18 17:00:00,La Liga,home,away,False,1.9,0.740924181075358,0.40775594404318016
2025-05-18 17:00:00,La Liga,home,away,False,2.4,0.5593292304940416,0.3423901531856999
2025-05-18 18:45:00,Serie A,home,home,True,2.1,0.6093905374373557,0.279720128618447
2025-05-22 18:30:00,Bundesliga,home,draw,False,2.2,0.611280351459878,0.34481677321173176
2025-05-25 19:00:00,La Liga,away,away,True,2.1,0.573224244924393,0.20377091434122518
2025-06-01 18:45:00,Primeira Liga,home,draw,False,2.0,0.6208177916868602,0.2416355833737205
2025-08-15 17:00:00,La Liga,home,away,False,2.25,0.5973866393131497,0.344119938454587
2025-08-16 15:00:00,Ligue 1,home,away,False,2.35,0.5375837873603926,0.2633219002969227
2025-08-17 15:15:00,Ligue 1,home,home,True,2.38,0.5196719754090803,0.23681930147361108
2025-08-18 19:00:00,La Liga,away,draw,False,2.3,0.5535902992801555,0.2732576883443574
2025-08-23 18:45:00,Serie A,home,home,True,2.1,0.635192491194259,0.3339042315079439
2025-08-30 16:30:00,Serie A,away,draw,False,1.8,0.7349114977216166,0.32284069589890985
2025-09-14 13:30:00,Bundesliga,home,home,True,2.1,0.6580423757374909,0.3818889890487309
2025-09-14 15:15:00,Ligue 1,home,away,False,2.5,0.5565979038556365,0.3914947596390912
2025-09-15 18:45:00,Serie A,home,draw,False,1.67,0.7226726135969312,0.2068632647068751
2025-09-27 13:30:00,Bundesliga,away,home,False,2.45,0.5319110568869757,0.30318208937309055
2025-09-28 15:15:00,Ligue 1,home,away,False,2.3,0.5506260473845943,0.2664399089845668
2025-10-18 13:30:00,Bundesliga,away,draw,False,2.3,0.77624395101579,0.7853610873363168
2025-11-02 15:15:00,La Liga,home,home,True,2.4,0.5166385356595827,0.2399324855829985
2025-11-02 15:30:00,Primeira Liga,away,draw,False,2.4,0.5450315779779374,0.30807578714704986
2025-11-02 18:00:00,Primeira Liga,home,away,False,2.5,0.5564815404121838,0.3912038510304594
2025-11-08 12:30:00,Premier League,away,draw,False,2.45,0.5746114886502562,0.4077981471931278
2025-11-22 14:30:00,Bundesliga,away,away,True,2.1,0.5805214503923356,0.2190950458239047
2025-11-23 16:15:00,Ligue 1,home,home,True,1.8,0.7587256137668373,0.3657061047803072
2025-11-24 17:30:00,Serie A,away,away,True,2.25,0.6231968503897299,0.40219291337689245
2025-11-30 16:15:00,Ligue 1,away,away,True,1.83,0.6901857116355714,0.2630398522930957
2025-12-07 14:00:00,Serie A,away,home,False,1.62,0.7481206148527816,0.21195539606150615
2025-12-12 19:30:00,Bundesliga,away,home,False,2.38,0.5159267779871735,0.2279057316094728
2025-12-14 14:00:00,Premier League,away,away,True,2.15,0.5609926162961322,0.20613412503668416
2025-12-14 14:00:00,Premier League,away,home,False,2.1,0.6048984588809796,0.2702867636500572
2025-12-15 20:00:00,La Liga,away,draw,False,2.5,0.4847092627674416,0.21177315691860388
2025-12-20 15:15:00,La Liga,away,draw,False,2.45,0.5355492352485157,0.3120956263588637
2025-12-30 19:30:00,Premier League,away,draw,False,2.05,0.6070996199212152,0.244554220838491
2026-01-03 20:30:00,Primeira Liga,away,away,True,2.1,0.620595920248027,0.30325143252085685
2026-01-07 20:15:00,Premier League,away,draw,False,1.67,0.7346328103778027,0.22683679333093054
2026-01-09 20:00:00,La Liga,away,away,True,2.35,0.6092887759904817,0.4318286235776321
2026-01-10 14:30:00,Bundesliga,away,draw,False,2.45,0.5093663675812018,0.2479476005739445
2026-01-17 12:30:00,Premier League,away,home,False,2.15,0.6103308904784913,0.3122114145287562
2026-01-17 15:15:00,La Liga,away,home,False,2.15,0.596207772903377,0.2818467117422605
2026-01-18 14:00:00,Premier League,away,draw,False,1.75,0.7869459002182505,0.3771553253819384
2026-01-19 20:15:00,Primeira Liga,away,away,True,2.35,0.7125007423904743,0.6743767446176148
2026-01-24 15:00:00,Premier League,away,draw,False,2.15,0.5643596875011766,0.21337332812752963
2026-01-25 14:00:00,Ligue 1,away,away,True,2.4,0.5267592982212468,0.2642223157309922
2026-01-31 14:00:00,Serie A,away,away,True,2.5,0.5997098443968708,0.49927461099217707
2026-01-31 15:00:00,Premier League,away,away,True,2.35,0.5341861058736396,0.25533734880305303
2026-02-02 19:45:00,Serie A,away,home,False,2.0,0.6334217296529266,0.2668434593058533
2026-02-07 14:30:00,Bundesliga,away,away,True,2.4,0.6553192759926693,0.5727662623824061
2026-02-07 15:00:00,Premier League,away,draw,False,2.35,0.5226980357445695,0.22834038399973844
2026-02-08 16:15:00,Ligue 1,away,home,False,1.85,0.6548061696353472,0.2113914138253925
2026-02-14 15:30:00,Primeira Liga,away,home,False,2.45,0.5758195239320184,0.4107578336334452
2026-02-15 13:00:00,La Liga,away,away,True,2.25,0.6148291978219455,0.38336569509937735
2026-02-21 17:30:00,Bundesliga,home,draw,False,2.05,0.5856411802512315,0.20056441951502446
2026-02-21 19:45:00,Serie A,away,draw,False,2.35,0.5220240817678192,0.22675659215437527
2026-02-28 20:00:00,La Liga,away,away,True,1.83,0.7323208415014985,0.34014713994774226
2026-03-01 15:30:00,Primeira Liga,away,draw,False,2.45,0.5212068448498721,0.27695676988218687
2026-03-02 19:45:00,Serie A,away,home,False,2.35,0.6230023888643985,0.46405561383133653
2026-03-04 19:30:00,Premier League,away,away,True,2.5,0.6043430974581578,0.5108577436453947
2026-03-07 15:15:00,La Liga,away,draw,False,2.5,0.7376198243324583,0.8440495608311458
2026-03-07 18:00:00,Ligue 1,away,draw,False,1.9,0.6341056534842776,0.2048007416201274
2026-03-14 15:00:00,Premier League,away,away,True,2.1,0.6634365088632096,0.3932166686127403
2026-03-14 20:00:00,Premier League,away,draw,False,1.67,0.7697321547686974,0.2854526984637247
2026-03-15 11:30:00,Serie A,away,away,True,2.4,0.5827062155355655,0.39849491728535713
2026-03-15 15:30:00,Primeira Liga,away,away,True,1.83,0.6789324723164252,0.24244642433905805
2026-03-20 17:30:00,Serie A,away,away,True,1.75,0.7664816697652371,0.34134292208916506
2026-03-22 14:00:00,Ligue 1,away,away,True,2.45,0.5505087870372921,0.34874652824136576
2026-03-22 19:45:00,Ligue 1,away,away,True,2.0,0.6122935680742906,0.22458713614858117
2026-04-04 17:00:00,Primeira Liga,away,away,True,2.45,0.49892185536509714,0.2223585456444881
2026-04-05 13:00:00,Serie A,away,away,True,2.25,0.5502341288699562,0.23802678995740134
2026-04-05 16:00:00,Serie A,away,away,True,2.4,0.6180910889100862,0.4834186133842069
2026-04-06 10:30:00,Serie A,away,draw,False,1.65,0.7521252431711697,0.2410066512324298
2026-04-06 13:00:00,Serie A,away,away,True,1.75,0.7271454334224888,0.27250450848935537
