gap_min,dom_min,odds_min,kelly_cap,bets,win_rate,avg_odds,roi,profit,bankroll
60,60,2.2,0.02,469,0.5223880597014925,2.743923240938166,40.66,22498.67,23498.67
70,50,1.8,0.06,650,0.6123076923076923,2.3166153846153845,40.66,114105463.93,114106463.93
80,50,2.2,0.04,231,0.5584415584415584,2.5279653679653675,40.63,21576.98,22576.98
80,60,2.2,0.04,231,0.5584415584415584,2.5279653679653675,40.63,21576.98,22576.98
80,80,2.2,0.04,231,0.5584415584415584,2.5279653679653675,40.63,21576.98,22576.98
80,70,2.2,0.04,231,0.5584415584415584,2.5279653679653675,40.63,21576.98,22576.98
60,70,1.8,0.02,772,0.6010362694300518,2.3795336787564767,40.57,177578.2,178578.2
80,50,1.5,0.03,874,0.7185354691075515,1.9670594965675057,40.48,3990731.16,3991731.16
80,80,1.5,0.03,874,0.7185354691075515,1.9670594965675057,40.48,3990731.16,3991731.16
80,60,1.5,0.03,874,0.7185354691075515,1.9670594965675057,40.48,3990731.16,3991731.16
80,70,1.5,0.03,874,0.7185354691075515,1.9670594965675057,40.48,3990731.16,3991731.16
60,50,2.2,0.04,469,0.5223880597014925,2.743923240938166,40.47,393769.71,394769.71
60,60,2.2,0.04,469,0.5223880597014925,2.743923240938166,40.47,393769.71,394769.71
50,60,2.0,0.02,732,0.5546448087431693,2.6433333333333335,40.31,208832.77,209832.77
80,50,1.7,0.04,590,0.6644067796610169,2.1479152542372884,40.3,2506114.44,2507114.44
80,60,1.7,0.04,590,0.6644067796610169,2.1479152542372884,40.3,2506114.44,2507114.44
80,80,1.7,0.04,590,0.6644067796610169,2.1479152542372884,40.3,2506114.44,2507114.44
80,70,1.7,0.04,590,0.6644067796610169,2.1479152542372884,40.3,2506114.44,2507114.44
50,60,2.0,0.03,732,0.5546448087431693,2.6433333333333335,40.25,2511786.16,2512786.16
60,50,1.8,0.02,842,0.5973871733966746,2.395938242280285,40.24,272012.19,273012.19
60,60,1.8,0.02,842,0.5973871733966746,2.395938242280285,40.24,272012.19,273012.19
50,80,1.8,0.02,638,0.6081504702194357,2.3327429467084637,40.24,75502.74,76502.74
70,80,1.8,0.03,587,0.6132879045996593,2.291567291311755,40.18,317470.59,318470.59
