features,n_groups,n_feats,min_ev,max_odds,n_bets,win_rate,flat_roi,kelly_roi,bankroll
form_basic+form_adv+xg+standings+rest,5,57,0.03,99.0,2096,29.6,-7.99,-12.23,877.7
form_basic+standings,2,25,0.03,2.2,286,49.3,-8.0,-9.96,900.44
form_basic+elo+market_ext,3,24,0.08,3.0,639,40.4,-8.02,-12.31,876.89
rest,1,6,0.05,99.0,1994,28.1,-8.02,-4.08,959.18
form_basic+form_adv+xg+elo+market_ext,5,53,0.03,99.0,1969,30.4,-8.02,-6.22,937.81
form_adv+xg+rest+market_ext,4,37,0.15,99.0,1310,27.7,-8.03,-11.16,888.44
form_basic+form_adv+xg+elo+standings+rest+market_ext,7,64,0.2,99.0,1211,25.4,-8.03,-7.78,922.21
form_basic+form_adv+elo+standings,4,45,0.12,99.0,1597,26.7,-8.03,-9.08,909.16
form_adv+standings+rest+market_ext,4,31,0.03,99.0,2064,28.8,-8.03,-5.12,948.84
xg+market_ext,2,19,0.2,99.0,1001,26.4,-8.04,-12.94,870.57
form_adv+elo+rest,3,26,0.1,99.0,1635,27.0,-8.05,-4.53,954.73
form_adv+xg+market_ext,3,34,0.2,99.0,1005,27.2,-8.05,-8.25,917.51
xg+rest,2,20,0.15,99.0,1279,27.5,-8.06,-12.78,872.22
form_basic+form_adv+rest,3,35,0.08,2.2,232,48.7,-8.07,-8.81,911.94
form_basic+standings+rest,3,28,0.1,3.0,587,40.0,-8.07,-17.89,821.07
form_basic+form_adv+xg+rest,4,49,0.15,99.0,1295,27.1,-8.07,-10.18,898.21
form_basic+xg+standings,3,39,0.03,99.0,2094,29.2,-8.08,-10.64,893.6
form_basic+form_adv+xg+standings+market_ext,5,56,0.1,99.0,1701,28.0,-8.09,-11.82,881.81
form_basic+form_adv,2,32,0.12,99.0,1483,26.8,-8.1,-4.85,951.52
form_basic+form_adv+elo+rest+market_ext,5,42,0.08,99.0,1759,27.4,-8.1,-5.21,947.85
form_adv+elo+standings+rest,4,34,0.1,99.0,1684,26.9,-8.1,-5.64,943.58
form_basic+xg+standings,3,39,0.1,2.2,215,48.8,-8.11,-10.62,893.81
form_adv+xg+elo+market_ext,4,39,0.03,99.0,2014,29.0,-8.12,-8.96,910.41
form_basic+xg+standings,3,39,0.05,2.2,309,49.5,-8.13,-9.17,908.29
form_basic+elo+rest+market_ext,4,27,0.08,2.2,205,48.3,-8.13,-7.17,928.31
form_basic+form_adv+xg+market_ext,4,48,0.2,99.0,1034,26.8,-8.14,-7.23,927.67
form_adv+elo+standings,3,31,0.12,99.0,1615,25.9,-8.14,-7.79,922.08
form_basic+form_adv+elo+standings+rest,5,48,0.05,99.0,1967,28.1,-8.14,-9.49,905.05
form_adv+standings+rest+market_ext,4,31,0.1,99.0,1681,27.1,-8.15,-4.85,951.5
form_basic+form_adv+xg+elo+standings+rest+market_ext,7,64,0.03,99.0,2060,28.8,-8.16,-7.21,927.89
form_basic+elo+standings+rest,4,33,0.03,99.0,2105,28.1,-8.16,-11.85,881.48
form_basic+form_adv+xg+elo+standings+rest+market_ext,7,64,0.05,99.0,1939,28.6,-8.16,-6.82,931.82
form_basic+form_adv+xg+elo+rest,5,54,0.1,99.0,1618,27.5,-8.16,-9.57,904.28
form_basic+standings,2,25,0.1,2.5,297,43.4,-8.16,-12.61,873.87
form_basic+xg+market_ext,3,33,0.1,99.0,1536,28.9,-8.17,-7.37,926.35
form_adv,1,18,0.12,99.0,1456,26.7,-8.17,-3.34,966.58
xg+elo+rest+market_ext,4,27,0.05,99.0,1938,29.4,-8.19,-10.26,897.44
xg+elo,2,22,0.12,99.0,1543,27.6,-8.2,-11.51,884.86
form_basic+form_adv+xg+elo,4,51,0.1,99.0,1592,27.8,-8.2,-8.09,919.11
form_basic+xg+market_ext,3,33,0.15,99.0,1273,27.7,-8.23,-8.99,910.11
form_basic+form_adv,2,32,0.1,2.5,372,43.5,-8.24,-10.41,895.94
form_basic+form_adv+xg,3,46,0.08,99.0,1651,29.1,-8.24,-8.09,919.14
form_basic+xg+elo+standings+rest,5,47,0.15,99.0,1412,26.1,-8.24,-10.85,891.51
elo,1,8,0.05,99.0,2024,27.9,-8.25,-13.29,867.1
form_basic+xg+standings,3,39,0.12,99.0,1583,27.4,-8.25,-12.09,879.08
form_adv+xg+elo+rest+market_ext,5,42,0.1,99.0,1598,28.2,-8.25,-6.8,932.01
form_basic+xg+elo+rest,4,39,0.2,2.5,171,42.7,-8.26,-12.15,878.52
form_basic+form_adv+xg,3,46,0.12,99.0,1406,28.7,-8.27,-7.76,922.41
form_adv+elo+market_ext,3,25,0.15,99.0,1395,25.6,-8.27,-5.55,944.5
form_basic+form_adv+xg+market_ext,4,48,0.12,99.0,1415,28.6,-8.27,-8.13,918.71
form_basic+form_adv+xg+rest,4,49,0.08,99.0,1718,28.6,-8.27,-9.1,909.0
form_basic+form_adv+xg+elo+standings,5,59,0.08,99.0,1771,27.8,-8.28,-7.76,922.36
form_basic+xg+elo+standings+rest,5,47,0.03,99.0,2101,28.8,-8.28,-10.25,897.49
form_basic+xg+elo,3,36,0.2,2.2,82,47.6,-8.28,-10.68,893.16
form_basic+form_adv+xg,3,46,0.15,99.0,1258,27.9,-8.29,-8.69,913.06
xg+standings+rest,3,28,0.03,99.0,2069,29.8,-8.3,-13.38,866.21
rest,1,6,0.05,2.2,249,48.2,-8.3,-7.63,923.7
form_basic+form_adv+xg+elo+standings+rest,6,62,0.15,99.0,1407,26.7,-8.31,-11.4,886.02
form_basic,1,17,0.03,99.0,2085,29.5,-8.32,-12.1,879.0
form_basic+form_adv+xg+standings+rest,5,57,0.05,99.0,1985,29.0,-8.33,-12.43,875.73
form_adv+xg+elo+standings+rest+market_ext,6,50,0.03,99.0,2043,29.6,-8.33,-10.73,892.67
form_basic+form_adv+market_ext,3,34,0.2,2.2,68,47.1,-8.35,-9.45,905.49
form_adv+xg+rest+market_ext,4,37,0.12,2.2,184,48.9,-8.35,-13.14,868.56
form_basic+xg+elo+standings+market_ext,5,46,0.15,99.0,1407,26.7,-8.35,-11.74,882.56
form_adv+xg,2,32,0.1,99.0,1526,29.4,-8.36,-7.6,923.99
form_basic+xg+market_ext,3,33,0.15,2.2,143,48.3,-8.36,-10.32,896.84
market_only,0,3,0.1,99.0,1551,27.4,-8.37,-6.23,937.68
form_basic+form_adv+xg+rest,4,49,0.03,99.0,2042,29.6,-8.37,-9.19,908.12
xg+standings+rest,3,28,0.08,2.2,245,48.6,-8.38,-10.33,896.73
form_adv+xg+rest,3,35,0.03,99.0,2003,30.1,-8.38,-6.71,932.88
form_basic+standings+rest+market_ext,4,30,0.12,2.2,152,48.0,-8.39,-8.82,911.84
elo+standings+rest+market_ext,4,21,0.05,99.0,1931,27.4,-8.41,-12.23,877.75
form_basic+form_adv+market_ext,3,34,0.08,2.5,431,43.9,-8.41,-8.86,911.44
form_basic+elo+market_ext,3,24,0.15,3.0,434,38.9,-8.42,-14.19,858.11
form_adv+elo+standings,3,31,0.15,99.0,1473,25.1,-8.42,-7.68,923.2
form_adv+standings+rest+market_ext,4,31,0.08,99.0,1788,27.5,-8.43,-5.09,949.12
form_adv+xg+rest,3,35,0.08,99.0,1690,29.3,-8.43,-6.41,935.94
xg+standings+market_ext,3,27,0.1,2.2,221,48.9,-8.43,-10.84,891.64
form_basic+form_adv+elo+standings+rest,5,48,0.03,99.0,2098,28.4,-8.44,-9.8,902.03
market_only,0,3,0.08,99.0,1669,27.8,-8.44,-6.27,937.28
form_basic+xg+rest,3,34,0.03,99.0,1997,30.0,-8.46,-10.13,898.72
form_basic+elo+standings+rest+market_ext,5,35,0.03,99.0,2136,28.8,-8.47,-11.43,885.71
form_basic+xg+standings,3,39,0.12,2.2,181,48.6,-8.47,-10.75,892.53
xg+standings,2,25,0.1,99.0,1733,27.9,-8.48,-13.32,866.8
form_basic+market_ext,2,19,0.15,2.5,258,43.0,-8.48,-12.77,872.27
form_basic+xg+standings+rest+market_ext,5,44,0.1,99.0,1661,27.9,-8.48,-11.69,883.13
elo+market_ext,2,10,0.05,2.2,251,48.2,-8.49,-5.88,941.2
form_adv+elo+market_ext,3,25,0.08,99.0,1769,27.1,-8.49,-5.23,947.71
form_basic+form_adv+standings+market_ext,4,42,0.12,99.0,1572,26.3,-8.5,-8.45,915.49
form_adv+xg+standings+rest,4,43,0.08,99.0,1813,29.0,-8.5,-10.24,897.63
form_basic+elo+standings,3,30,0.1,2.2,169,47.9,-8.51,-9.07,909.31
elo+standings+market_ext,3,18,0.08,99.0,1777,26.4,-8.52,-12.52,874.78
rest,1,6,0.2,2.2,66,47.0,-8.53,-7.99,920.12
form_basic+form_adv+xg+market_ext,4,48,0.15,99.0,1255,27.6,-8.53,-9.5,905.01
form_adv+elo+rest,3,26,0.12,99.0,1522,26.1,-8.54,-4.79,952.08
form_basic+elo+rest+market_ext,4,27,0.1,3.0,549,39.5,-8.57,-10.98,890.23
form_basic+xg+standings+rest+market_ext,5,44,0.05,99.0,1968,29.1,-8.57,-12.64,873.59
form_basic+form_adv+elo+rest+market_ext,5,42,0.03,99.0,2089,28.3,-8.57,-5.0,950.02
market_ext,1,5,0.05,2.2,207,47.8,-8.59,-9.39,906.14
form_adv+xg,2,32,0.15,2.2,139,48.9,-8.59,-12.52,874.76
form_adv+xg+elo+rest+market_ext,5,42,0.12,99.0,1474,27.7,-8.6,-6.5,934.99
market_only,0,3,0.1,2.2,152,47.4,-8.61,-9.11,908.89
form_adv+xg+rest+market_ext,4,37,0.1,99.0,1581,28.5,-8.62,-10.45,895.49
form_basic+market_ext,2,19,0.08,2.2,232,47.8,-8.63,-9.35,906.54
form_adv+xg+elo+standings+rest+market_ext,6,50,0.1,99.0,1645,28.0,-8.64,-10.2,898.02
form_basic+elo+standings,3,30,0.12,2.2,143,47.6,-8.64,-9.52,904.81
xg+standings+rest,3,28,0.2,99.0,1130,25.8,-8.66,-12.91,870.88
form_basic+market_ext,2,19,0.15,3.0,481,38.7,-8.67,-14.3,857.01
form_basic+form_adv+xg+elo+standings,5,59,0.2,99.0,1167,25.0,-8.69,-9.25,907.49
form_adv+xg+rest+market_ext,4,37,0.15,2.2,150,48.7,-8.69,-13.17,868.32
rest,1,6,0.1,99.0,1634,26.8,-8.7,-4.62,953.84
form_basic+xg+elo+rest+market_ext,5,41,0.15,2.2,126,47.6,-8.71,-10.95,890.51
elo+standings+rest,3,19,0.05,99.0,1928,27.6,-8.71,-11.99,880.13
form_adv+standings+market_ext,3,28,0.08,99.0,1758,27.8,-8.72,-6.18,938.19
form_basic+form_adv+xg+rest,4,49,0.05,99.0,1900,29.2,-8.73,-9.04,909.59
form_adv+xg+elo+rest+market_ext,5,42,0.2,99.0,1075,25.6,-8.73,-8.01,919.92
form_adv+xg+standings+rest+market_ext,5,45,0.03,2.2,383,48.8,-8.74,-11.66,883.37
form_adv+xg+elo+rest+market_ext,5,42,0.03,99.0,2067,29.4,-8.74,-6.72,932.77
form_basic+form_adv+xg+standings,4,54,0.1,2.2,222,48.6,-8.75,-10.89,891.11
form_adv+xg+elo+standings+market_ext,5,47,0.2,99.0,1204,25.5,-8.75,-8.07,919.34
form_basic+xg+standings,3,39,0.15,2.2,146,47.9,-8.76,-11.52,884.8
form_adv+rest,2,21,0.15,99.0,1293,26.7,-8.77,-2.72,972.8
form_adv+standings+rest,3,29,0.03,99.0,2085,28.3,-8.79,-5.72,942.83
xg+standings+rest+market_ext,4,30,0.15,99.0,1394,27.0,-8.79,-8.57,914.27
form_basic+standings+rest,3,28,0.12,3.0,530,39.4,-8.8,-19.3,806.95
xg+standings,2,25,0.15,2.2,133,47.4,-8.81,-11.28,887.22
elo+rest,2,11,0.1,99.0,1815,26.7,-8.82,-8.67,913.34
form_adv+elo+standings+rest,4,34,0.12,99.0,1575,26.3,-8.83,-5.72,942.83
elo+rest,2,11,0.05,99.0,2105,27.5,-8.83,-8.79,912.15
xg+rest+market_ext,3,22,0.2,99.0,1045,26.4,-8.84,-7.51,924.86
form_basic+standings+rest+market_ext,4,30,0.2,2.2,67,47.8,-8.85,-10.63,893.71
form_adv+xg+elo+rest,4,40,0.03,99.0,2065,29.2,-8.85,-7.56,924.38
form_basic+form_adv+xg+standings,4,54,0.2,99.0,1166,25.2,-8.85,-18.71,812.88
form_basic+form_adv+elo+standings+market_ext,5,47,0.2,99.0,1244,24.6,-8.85,-6.34,936.61
form_basic+standings+rest+market_ext,4,30,0.08,2.2,209,48.3,-8.86,-8.0,919.96
elo+rest+market_ext,3,13,0.12,99.0,1653,25.8,-8.86,-5.49,945.12
form_adv+xg+elo+standings+rest+market_ext,6,50,0.15,99.0,1395,26.9,-8.88,-13.49,865.09
form_adv+xg+elo+rest+market_ext,5,42,0.15,99.0,1330,27.1,-8.88,-7.37,926.25
elo,1,8,0.12,99.0,1623,26.1,-8.89,-13.16,868.44
form_basic+elo+standings+rest+market_ext,5,35,0.05,99.0,2028,28.1,-8.89,-11.26,887.44
elo+market_ext,2,10,0.03,99.0,2168,27.6,-8.9,-11.53,884.65
form_adv+xg+standings+market_ext,4,42,0.1,2.2,220,48.6,-8.92,-11.38,886.23
form_adv+xg+standings+rest+market_ext,5,45,0.1,2.2,241,48.5,-8.93,-12.4,875.99
form_adv+elo+standings+market_ext,4,33,0.12,99.0,1594,26.0,-8.93,-4.71,952.91
rest,1,6,0.12,2.2,135,47.4,-8.94,-7.68,923.21
xg+standings+market_ext,3,27,0.08,2.2,252,48.8,-8.94,-11.82,881.84
form_basic+elo+standings+rest,4,33,0.08,99.0,1803,26.7,-8.95,-11.4,886.04
form_basic+xg+standings,3,39,0.15,99.0,1415,26.5,-8.95,-12.79,872.14
elo+standings+rest,3,19,0.03,99.0,2044,27.9,-8.95,-11.87,881.29
form_basic+form_adv+xg+elo+standings+rest,6,62,0.08,99.0,1761,28.2,-8.96,-11.84,881.61
form_basic+standings+market_ext,3,27,0.15,2.5,221,42.1,-8.96,-11.66,883.43
xg+elo+market_ext,3,24,0.03,99.0,2062,29.4,-8.96,-8.14,918.59
form_basic+form_adv+xg+elo+standings+rest,6,62,0.1,99.0,1644,27.7,-8.97,-11.56,884.43
form_basic+elo+rest+market_ext,4,27,0.08,3.0,627,39.7,-8.97,-10.99,890.12
form_adv+elo+standings+rest,4,34,0.15,99.0,1423,25.5,-8.98,-6.35,936.49
form_basic+xg+elo+standings,4,44,0.15,99.0,1386,26.3,-8.98,-13.26,867.42
form_basic+form_adv+xg+elo+market_ext,5,53,0.08,99.0,1635,29.4,-8.99,-6.07,939.28
form_adv+xg+market_ext,3,34,0.2,2.2,94,47.9,-9.02,-13.89,861.12
elo,1,8,0.03,99.0,2158,28.1,-9.03,-13.04,869.6
form_basic+form_adv+elo+rest+market_ext,5,42,0.05,99.0,1952,27.8,-9.03,-5.29,947.06
form_adv+rest,2,21,0.12,99.0,1447,27.2,-9.03,-2.69,973.07
form_basic+form_adv+xg+elo+rest+market_ext,6,56,0.1,99.0,1609,27.3,-9.04,-9.99,900.12
form_basic+form_adv+elo+standings+rest+market_ext,6,50,0.05,99.0,1967,28.1,-9.07,-6.69,933.06
form_basic+form_adv+xg+standings+rest,5,57,0.08,2.2,258,48.8,-9.07,-12.34,876.55
form_basic+xg+rest,3,34,0.12,99.0,1420,27.9,-9.07,-8.94,910.61
form_basic+standings+market_ext,3,27,0.03,99.0,2063,28.6,-9.08,-14.75,852.45
form_adv+xg+elo+market_ext,4,39,0.12,99.0,1467,26.9,-9.08,-10.05,899.47
form_adv+rest,2,21,0.03,99.0,2022,29.1,-9.08,-2.78,972.22
form_basic+form_adv,2,32,0.05,99.0,1920,28.5,-9.08,-4.57,954.28
form_basic+form_adv,2,32,0.08,99.0,1717,27.8,-9.09,-4.8,952.03
market_only,0,3,0.12,99.0,1469,27.0,-9.1,-7.02,929.85
form_adv+xg+standings+rest+market_ext,5,45,0.03,99.0,2099,30.0,-9.1,-11.09,889.07
market_ext,1,5,0.08,2.2,164,47.0,-9.1,-9.45,905.55
form_adv+standings,2,26,0.2,2.2,54,46.3,-9.12,-11.24,887.6
form_basic+form_adv+xg+elo+market_ext,5,53,0.15,99.0,1251,27.5,-9.12,-7.17,928.32
form_adv+xg+rest+market_ext,4,37,0.08,99.0,1694,28.9,-9.14,-10.53,894.66
form_basic+standings+rest+market_ext,4,30,0.08,3.0,660,39.5,-9.14,-16.5,835.0
form_adv+xg+elo+rest+market_ext,5,42,0.05,99.0,1933,29.0,-9.15,-6.58,934.23
form_adv+xg+elo+standings+rest+market_ext,6,50,0.12,99.0,1540,27.3,-9.16,-11.6,884.03
form_basic+form_adv+xg+elo+rest,5,54,0.12,99.0,1500,27.1,-9.16,-9.75,902.48
xg+standings,2,25,0.08,99.0,1853,28.2,-9.17,-14.18,858.21
form_adv+xg+elo,3,37,0.2,99.0,1099,25.1,-9.17,-8.01,919.9
form_basic+xg+elo+rest+market_ext,5,41,0.08,99.0,1736,28.4,-9.19,-8.27,917.31
form_basic+xg+elo+standings,4,44,0.08,99.0,1764,27.9,-9.21,-13.0,870.03
form_adv+xg+elo+standings+rest+market_ext,6,50,0.2,99.0,1191,25.9,-9.21,-13.89,861.11
standings,1,11,0.03,99.0,2041,27.1,-9.22,-12.52,874.78
xg+rest+market_ext,3,22,0.05,99.0,1886,29.7,-9.22,-8.35,916.51
form_adv+xg+standings+rest,4,43,0.15,99.0,1417,27.5,-9.23,-9.78,902.16
form_basic+standings+market_ext,3,27,0.05,99.0,1958,28.0,-9.23,-14.79,852.13
form_basic,1,17,0.05,99.0,1929,28.7,-9.23,-12.78,872.18
form_adv+elo+standings+rest+market_ext,5,36,0.08,99.0,1750,27.1,-9.24,-5.82,941.77
form_basic+form_adv+xg+elo+market_ext,5,53,0.12,99.0,1423,28.3,-9.25,-7.11,928.92
form_basic+xg+elo+standings,4,44,0.03,99.0,2064,29.2,-9.26,-12.68,873.2
form_basic+market_ext,2,19,0.12,3.0,570,38.9,-9.26,-14.7,853.04
form_adv+xg+rest,3,35,0.05,99.0,1863,29.5,-9.27,-6.94,930.63
form_adv+xg+elo,3,37,0.15,99.0,1317,25.7,-9.27,-8.99,910.1
form_basic+form_adv+elo+market_ext,4,39,0.03,99.0,2085,28.5,-9.27,-6.82,931.84
elo+standings+market_ext,3,18,0.03,99.0,2046,27.4,-9.29,-12.8,872.01
form_adv+standings+rest,3,29,0.05,99.0,1973,27.8,-9.29,-5.94,940.56
form_basic+form_adv+elo+rest+market_ext,5,42,0.1,99.0,1631,26.6,-9.3,-5.64,943.65
form_adv+elo+market_ext,3,25,0.1,99.0,1637,26.5,-9.31,-5.28,947.19
elo,1,8,0.08,99.0,1849,27.1,-9.31,-13.39,866.08
form_adv+elo+rest,3,26,0.15,99.0,1372,25.3,-9.32,-4.68,953.19
form_basic+form_adv+elo+standings+rest,5,48,0.08,99.0,1796,27.2,-9.33,-9.41,905.94
market_only,0,3,0.12,2.2,139,46.8,-9.33,-10.15,898.52
form_basic+xg+standings+rest,4,42,0.03,99.0,2170,28.8,-9.33,-12.04,879.59
form_adv+standings+market_ext,3,28,0.1,99.0,1656,27.1,-9.34,-6.1,938.95
form_adv+rest,2,21,0.1,99.0,1570,27.8,-9.34,-2.72,972.79
form_basic+form_adv+xg+rest+market_ext,5,51,0.03,99.0,2034,30.3,-9.36,-9.14,908.6
form_adv+xg+rest+market_ext,4,37,0.05,99.0,1886,29.6,-9.36,-10.27,897.3
elo+rest,2,11,0.08,99.0,1920,26.8,-9.36,-9.26,907.45
form_basic+form_adv+xg+rest,4,49,0.1,99.0,1587,27.8,-9.38,-10.06,899.43
form_basic+rest+market_ext,3,22,0.12,3.0,551,39.6,-9.39,-14.06,859.35
form_basic+xg+standings+rest,4,42,0.05,99.0,2030,28.2,-9.39,-11.84,881.59
form_basic+form_adv+rest,3,35,0.03,99.0,2075,29.0,-9.39,-4.49,955.07
form_basic+form_adv+xg+standings,4,54,0.12,2.2,186,47.8,-9.42,-11.6,883.95
form_adv+xg+standings+rest+market_ext,5,45,0.12,2.2,207,48.3,-9.42,-12.33,876.73
form_basic+xg+rest,3,34,0.05,99.0,1857,29.5,-9.42,-10.32,896.76
elo+standings+rest,3,19,0.1,99.0,1649,26.4,-9.43,-12.41,875.93
form_adv+elo+rest+market_ext,4,28,0.08,99.0,1769,27.3,-9.44,-3.22,967.78
form_basic+form_adv+market_ext,3,34,0.08,2.2,233,47.6,-9.44,-8.75,912.49
form_basic+xg+elo+standings,4,44,0.2,99.0,1190,24.9,-9.45,-13.55,864.47
form_basic+form_adv,2,32,0.1,99.0,1594,27.0,-9.45,-5.35,946.48
form_basic+xg+elo,3,36,0.03,99.0,2048,29.1,-9.46,-12.13,878.69
form_adv+elo+standings+market_ext,4,33,0.2,99.0,1248,24.1,-9.47,-6.33,936.65
form_basic+form_adv+xg+rest,4,49,0.12,99.0,1466,27.4,-9.48,-10.15,898.46
market_ext,1,5,0.05,99.0,1812,28.0,-9.51,-7.52,924.79
form_basic+form_adv,2,32,0.15,99.0,1308,26.0,-9.51,-4.95,950.52
form_adv+xg+elo+rest,4,40,0.12,99.0,1510,27.2,-9.51,-7.98,920.16
form_basic+standings+rest,3,28,0.05,2.2,261,48.3,-9.51,-9.66,903.35
standings,1,11,0.05,99.0,1938,26.7,-9.52,-12.42,875.82
form_adv+rest,2,21,0.05,99.0,1864,28.4,-9.52,-2.89,971.14
form_basic,1,17,0.08,99.0,1744,27.8,-9.52,-13.76,862.42
form_basic+form_adv+market_ext,3,34,0.2,99.0,1098,25.1,-9.52,-4.14,958.57
form_basic+form_adv+standings+rest+market_ext,5,45,0.15,2.2,120,47.5,-9.53,-11.94,880.6
form_basic+xg+standings+rest,4,42,0.12,99.0,1618,26.6,-9.53,-11.64,883.55
form_adv+xg+elo+standings+rest+market_ext,6,50,0.05,99.0,1919,28.8,-9.53,-11.04,889.6
form_adv+xg+standings+rest+market_ext,5,45,0.08,99.0,1825,29.2,-9.54,-11.24,887.6
form_basic+xg+standings+rest+market_ext,5,44,0.03,99.0,2104,29.3,-9.54,-12.25,877.46
form_adv+xg+standings+rest+market_ext,5,45,0.05,99.0,1993,29.7,-9.55,-11.2,887.97
elo+rest,2,11,0.12,99.0,1694,26.0,-9.55,-8.55,914.53
elo+standings,2,16,0.1,99.0,1687,25.8,-9.55,-14.73,852.66
elo+standings+rest+market_ext,4,21,0.08,99.0,1767,26.7,-9.56,-12.72,872.77
form_basic+xg+standings+rest+market_ext,5,44,0.2,99.0,1176,25.0,-9.56,-15.18,848.19
form_basic+form_adv+rest,3,35,0.2,2.5,166,41.6,-9.56,-11.68,883.15
form_adv+xg+elo+standings+rest+market_ext,6,50,0.08,99.0,1764,28.2,-9.56,-11.14,888.58
form_adv+xg+rest+market_ext,4,37,0.12,99.0,1452,27.8,-9.58,-11.37,886.32
elo+standings+market_ext,3,18,0.05,99.0,1944,26.9,-9.59,-12.49,875.07
form_basic+form_adv+xg+standings+rest+market_ext,6,59,0.15,2.2,141,47.5,-9.59,-12.6,874.02
standings+rest+market_ext,3,16,0.2,3.0,281,37.4,-9.59,-17.27,827.32
standings+market_ext,2,13,0.03,99.0,2037,27.2,-9.59,-16.54,834.57
form_basic+form_adv+xg+elo+rest+market_ext,6,56,0.03,99.0,2039,28.7,-9.6,-9.26,907.37
form_adv+xg+standings+rest,4,43,0.1,99.0,1686,28.3,-9.6,-10.83,891.67
form_basic+elo+standings+rest,4,33,0.1,99.0,1695,26.1,-9.6,-11.71,882.87
form_basic+xg+elo+standings+rest,5,47,0.12,99.0,1570,26.2,-9.62,-11.9,881.03
elo+rest,2,11,0.03,99.0,2221,27.6,-9.63,-9.05,909.53
market_ext,1,5,0.03,99.0,1939,28.5,-9.63,-7.1,929.01
xg+elo,2,22,0.15,99.0,1381,26.8,-9.63,-11.79,882.15
form_basic+standings+rest+market_ext,4,30,0.1,3.0,597,39.2,-9.63,-17.24,827.55
elo+market_ext,2,10,0.08,99.0,1873,26.4,-9.63,-11.47,885.27
form_basic+form_adv+xg+elo+standings+rest,6,62,0.2,99.0,1191,25.4,-9.63,-12.64,873.63
form_basic+xg+elo+standings,4,44,0.1,99.0,1657,27.2,-9.64,-14.02,859.78
form_basic+xg+elo+rest+market_ext,5,41,0.05,99.0,1919,28.9,-9.64,-8.43,915.71
form_adv+xg+elo+standings+rest,5,48,0.15,99.0,1436,26.5,-9.65,-7.81,921.95
form_adv+standings+rest,3,29,0.08,99.0,1804,26.9,-9.65,-5.87,941.33
form_basic+market_ext,2,19,0.2,3.0,338,37.3,-9.67,-14.79,852.12
form_basic+xg+elo+standings+rest,5,47,0.08,99.0,1790,27.6,-9.67,-11.22,887.77
form_basic+form_adv+elo+market_ext,4,39,0.05,99.0,1947,28.3,-9.68,-6.69,933.13
form_basic+elo+standings,3,30,0.05,99.0,1961,27.3,-9.68,-13.91,860.86
xg+standings,2,25,0.12,2.2,174,47.7,-9.68,-12.53,874.71
form_basic+xg+standings+rest+market_ext,5,44,0.15,99.0,1402,26.3,-9.68,-14.94,850.64
form_adv+elo+rest+market_ext,4,28,0.05,99.0,1987,27.9,-9.69,-3.29,967.09
xg+elo+market_ext,3,24,0.08,99.0,1699,28.4,-9.7,-8.06,919.43
form_adv+xg+rest,3,35,0.2,99.0,1073,26.6,-9.7,-7.14,928.59
form_basic+xg+elo+rest+market_ext,5,41,0.12,99.0,1481,27.3,-9.7,-8.84,911.64
rest,1,6,0.12,99.0,1503,26.0,-9.71,-4.46,955.4
form_basic+form_adv+xg+market_ext,4,48,0.2,2.2,84,47.6,-9.72,-12.81,871.89
form_adv+xg+standings+rest,4,43,0.12,99.0,1580,27.8,-9.72,-10.39,896.12
form_basic+standings+market_ext,3,27,0.15,3.0,434,37.6,-9.72,-15.85,841.53
form_basic+form_adv+xg+market_ext,4,48,0.15,2.2,143,48.3,-9.73,-13.44,865.55
rest,1,6,0.15,99.0,1339,25.5,-9.73,-4.88,951.21
elo+standings+rest+market_ext,4,21,0.03,99.0,2054,27.5,-9.73,-12.26,877.4
form_basic+form_adv+standings+rest+market_ext,5,45,0.08,99.0,1822,26.9,-9.74,-8.08,919.18
form_basic+elo+standings,3,30,0.15,2.2,107,46.7,-9.75,-10.14,898.64
xg+standings+rest,3,28,0.05,99.0,1951,28.8,-9.75,-13.6,863.98
form_basic+form_adv+xg+elo+market_ext,5,53,0.2,99.0,1022,26.3,-9.77,-6.52,934.79
form_basic+xg+elo+standings,4,44,0.05,99.0,1947,28.6,-9.77,-13.1,868.95
form_adv+xg+elo+rest,4,40,0.08,99.0,1759,28.0,-9.77,-8.61,913.88
form_basic+xg+elo+standings,4,44,0.12,99.0,1550,26.6,-9.78,-13.51,864.95
elo+rest+market_ext,3,13,0.15,99.0,1490,25.1,-9.79,-5.31,946.93
form_adv+xg+elo+rest,4,40,0.05,99.0,1941,28.5,-9.81,-7.7,923.03
form_basic+form_adv+xg+elo+rest+market_ext,6,56,0.05,99.0,1900,28.2,-9.81,-9.46,905.36
form_basic+xg+elo,3,36,0.05,99.0,1887,28.5,-9.83,-12.21,877.92
elo+standings,2,16,0.08,99.0,1767,26.3,-9.84,-14.19,858.1
form_adv+xg+elo+rest,4,40,0.1,99.0,1641,27.8,-9.85,-8.21,917.85
form_basic,1,17,0.12,99.0,1496,26.5,-9.86,-14.83,851.66
form_basic+form_adv+xg+elo+market_ext,5,53,0.1,99.0,1522,28.6,-9.87,-6.36,936.37
elo+rest+market_ext,3,13,0.08,99.0,1869,26.5,-9.88,-5.56,944.41
form_basic+xg+rest,3,34,0.1,99.0,1527,27.8,-9.89,-9.63,903.72
form_basic+xg+rest,3,34,0.15,99.0,1254,26.6,-9.91,-10.45,895.5
form_basic+standings+rest+market_ext,4,30,0.03,99.0,2139,27.8,-9.91,-14.33,856.69
