features,n_groups,n_feats,min_ev,max_odds,n_bets,win_rate,flat_roi,kelly_roi,bankroll
form_adv+elo+standings,3,31,0.12,2.2,129,57.4,9.29,7.58,1075.85
form_adv+elo+standings+rest,4,34,0.03,2.5,493,52.5,9.24,10.92,1109.25
form_adv+xg+elo+market_ext,4,39,0.08,2.5,359,52.9,9.22,9.61,1096.07
form_adv+elo+standings+rest,4,34,0.05,2.5,429,52.0,9.22,10.8,1107.96
form_adv+elo,2,23,0.2,3.0,296,44.9,9.2,10.24,1102.35
elo+standings+rest,3,19,0.1,2.5,307,52.1,9.19,9.3,1092.97
form_adv+elo+rest,3,26,0.2,2.2,56,57.1,9.18,6.91,1069.13
form_basic+form_adv+xg+elo+standings+rest+market_ext,7,64,0.08,2.5,403,52.6,9.16,6.92,1069.2
form_adv+xg+elo+standings,4,45,0.15,2.5,263,51.7,9.14,7.87,1078.68
form_adv+elo+standings+rest+market_ext,5,36,0.15,3.0,428,45.8,9.12,10.72,1107.2
xg+elo+standings,3,30,0.1,2.5,375,51.5,9.11,11.95,1119.47
form_adv+elo+market_ext,3,25,0.08,2.5,344,51.7,9.05,10.07,1100.7
xg+elo+market_ext,3,24,0.12,2.5,309,52.1,9.03,9.4,1094.01
form_basic+elo+standings+rest,4,33,0.1,2.5,307,51.8,9.01,6.4,1064.04
form_adv+elo+rest+market_ext,4,28,0.08,2.5,363,51.8,9.0,9.91,1099.11
form_adv+elo+rest,3,26,0.03,2.5,492,53.0,8.97,11.48,1114.76
form_basic+form_adv+elo+market_ext,4,39,0.15,2.2,113,56.6,8.97,6.79,1067.9
form_adv+elo+rest,3,26,0.15,2.5,204,50.5,8.95,7.45,1074.48
form_adv+xg+elo+standings,4,45,0.15,3.0,473,46.5,8.94,9.12,1091.16
form_adv+xg+elo+standings+market_ext,5,47,0.1,2.5,375,52.5,8.91,7.67,1076.71
xg+elo,2,22,0.1,2.5,362,52.2,8.91,7.22,1072.22
xg+elo+standings+rest,4,33,0.08,2.5,416,51.9,8.91,9.35,1093.47
elo+standings+rest+market_ext,4,21,0.1,2.5,301,51.8,8.89,8.55,1085.48
form_adv+elo+standings,3,31,0.1,2.2,147,57.1,8.86,6.99,1069.85
form_basic+form_adv+elo+standings+rest,5,48,0.15,2.2,115,56.5,8.84,6.72,1067.23
form_basic+elo+standings+rest,4,33,0.08,2.5,346,51.7,8.82,6.24,1062.42
form_basic+form_adv+elo+standings+market_ext,5,47,0.03,2.5,531,53.1,8.82,9.96,1099.6
xg+elo+standings+rest+market_ext,5,35,0.03,2.5,545,52.3,8.77,7.87,1078.71
elo+market_ext,2,10,0.1,2.5,321,51.1,8.74,7.89,1078.91
form_basic+xg+elo+standings+rest+market_ext,6,49,0.12,2.5,312,51.0,8.68,7.3,1073.05
form_basic+xg+elo+standings+market_ext,5,46,0.12,2.5,327,51.4,8.65,7.28,1072.77
form_adv+xg+standings+rest,4,43,0.2,3.0,392,45.9,8.62,9.55,1095.47
form_adv+elo+market_ext,3,25,0.05,2.5,434,52.1,8.61,10.11,1101.12
form_adv+elo+standings,3,31,0.05,2.5,403,52.1,8.59,9.9,1099.01
form_adv+elo+market_ext,3,25,0.08,2.2,172,57.0,8.57,8.19,1081.86
xg+elo+standings+market_ext,4,32,0.08,2.5,420,51.4,8.56,6.0,1059.99
form_adv+standings,2,26,0.2,2.5,145,49.0,8.54,6.93,1069.29
form_basic+form_adv+elo+standings+rest,5,48,0.08,2.5,386,51.8,8.51,9.8,1097.99
form_basic+form_adv+elo+standings,4,45,0.03,2.5,514,52.7,8.48,9.39,1093.9
form_adv+elo+standings+market_ext,4,33,0.08,2.2,179,57.0,8.46,6.01,1060.1
form_adv+xg+elo+standings+rest+market_ext,6,50,0.15,2.5,281,51.2,8.45,9.6,1096.02
form_adv+market_ext,2,20,0.2,2.5,137,48.9,8.43,6.7,1067.03
xg+elo,2,22,0.15,2.2,148,56.8,8.42,8.47,1084.73
form_adv+standings+rest,3,29,0.15,2.5,225,50.7,8.41,6.68,1066.82
form_adv+standings+market_ext,3,28,0.08,2.5,371,52.0,8.41,8.57,1085.72
xg+elo+standings+rest+market_ext,5,35,0.08,2.5,435,51.7,8.37,8.02,1080.19
form_adv+elo+standings,3,31,0.15,2.5,202,51.0,8.37,9.07,1090.75
form_adv+elo+standings,3,31,0.2,3.0,293,44.7,8.37,7.51,1075.14
elo+standings,2,16,0.15,2.5,177,50.3,8.34,7.66,1076.59
form_basic+elo+standings+rest,4,33,0.12,2.5,270,51.1,8.34,6.07,1060.67
elo+rest,2,11,0.1,2.5,355,52.1,8.33,9.58,1095.83
