date,league,outcome,actual,ws_dominant,ws_weak,ws_gap,odds,p_elo,won,fold
2024-12-21 14:00:00,Serie B,home,away,77,2,75,2.01,0.6654340857470049,False,2
2024-12-21 14:00:00,Serie B,home,home,13,5,8,2.44,0.511664590467052,True,2
2024-12-21 14:30:00,Bundesliga,away,away,46,5,41,3.17,0.5693157734024985,True,2
2024-12-21 14:30:00,Bundesliga,home,away,31,23,8,2.19,0.5285307247486006,False,2
2024-12-21 14:30:00,Bundesliga,home,away,104,2,102,1.56,0.6465270616944238,False,2
2024-12-21 14:30:00,Bundesliga,away,home,98,12,86,2.27,0.643429760216337,False,2
2024-12-21 14:30:00,Bundesliga,home,home,37,10,27,2.34,0.5703390157265701,True,2
2024-12-21 15:00:00,Jupiler Pro League,home,home,24,1,23,1.88,0.4961427180979719,True,2
2024-12-21 15:15:00,La Liga,away,home,84,4,80,2.83,0.5788870582956829,False,2
2024-12-21 15:30:00,Primeira Liga,home,away,46,16,30,2.06,0.6208706844010325,False,2
2024-12-21 15:30:00,Eredivisie,home,home,33,2,31,1.62,0.528397709221953,True,2
2024-12-21 16:15:00,Serie B,away,away,94,18,76,2.25,0.5735960499570107,True,2
2024-12-21 16:15:00,Serie B,away,home,39,11,28,2.84,0.5432792831886092,False,2
2024-12-21 16:15:00,Serie B,away,home,95,12,83,3.49,0.6436687360442969,False,3
2024-12-21 17:00:00,Serie A,away,away,131,3,128,1.79,0.6738527794445919,True,3
2024-12-21 17:15:00,Jupiler Pro League,away,away,42,10,32,2.08,0.513815541821999,True,3
2024-12-21 17:30:00,La Liga,away,away,103,4,99,2.12,0.5899849454667675,True,3
2024-12-21 17:30:00,Bundesliga,home,home,88,4,84,1.46,0.5664402557322142,True,3
2024-12-21 17:45:00,Eredivisie,away,home,109,5,104,2.57,0.6806293894575675,False,3
2024-12-21 19:00:00,Eredivisie,home,home,35,33,2,2.23,0.46675342577901946,True,3
2024-12-21 19:45:00,Serie A,away,away,118,2,116,1.66,0.6436160152778418,True,3
2024-12-21 20:00:00,La Liga,away,away,86,30,56,3.76,0.5667124164700672,True,3
2024-12-21 20:30:00,Primeira Liga,away,away,134,10,124,1.58,0.6554715770887554,True,3
2024-12-22 11:15:00,Eredivisie,away,away,150,7,143,1.85,0.7556514190600031,True,3
2024-12-22 11:30:00,Serie A,home,home,32,15,17,1.48,0.4952065978842026,True,3
2024-12-22 12:30:00,Jupiler Pro League,away,home,38,31,7,3.71,0.4749526477466677,False,3
2024-12-22 13:30:00,Eredivisie,home,home,82,48,34,1.7,0.5385784809037842,True,3
2024-12-22 13:30:00,Eredivisie,home,away,82,5,77,1.58,0.6395955857615694,False,3
2024-12-22 14:00:00,Serie B,away,home,24,7,17,3.28,0.4783286089360501,False,3
2024-12-22 14:00:00,Serie A,away,home,44,10,34,3.04,0.5566606051506018,False,3
2024-12-22 14:30:00,Bundesliga,away,home,57,13,44,3.68,0.5525528314030532,False,3
2024-12-22 15:00:00,Jupiler Pro League,away,away,50,10,40,2.55,0.5376498583352135,True,3
2024-12-22 15:15:00,La Liga,home,home,116,4,112,1.34,0.6502611786559287,True,3
2024-12-22 15:45:00,Eredivisie,away,home,23,13,10,2.27,0.4681021374531835,False,3
2024-12-22 16:30:00,Bundesliga,away,away,22,21,1,2.26,0.5048773679778662,True,3
2024-12-22 17:00:00,Serie A,home,home,123,2,121,1.37,0.693215311323206,True,3
2024-12-22 17:00:00,Primeira Liga,away,away,47,24,23,2.35,0.5033428363349572,True,3
2024-12-22 17:30:00,La Liga,away,away,102,11,91,2.0,0.5731276527183791,True,3
2024-12-22 17:30:00,La Liga,home,home,45,1,44,2.16,0.5714001132355326,True,3
2024-12-22 18:15:00,Jupiler Pro League,away,home,58,4,54,3.2,0.5797394733768183,False,3
2024-12-22 19:45:00,Serie A,away,away,127,5,122,1.69,0.7070762489508999,True,3
2024-12-23 17:30:00,Serie A,home,away,101,2,99,1.69,0.6648648038968727,False,3
2024-12-23 18:45:00,Primeira Liga,home,home,120,5,115,1.19,0.7074978120081844,True,3
2024-12-23 19:45:00,Serie A,home,home,113,5,108,1.41,0.7234586902129698,True,3
2024-12-23 20:45:00,Primeira Liga,away,home,39,9,30,2.99,0.5571943293469923,False,3
2024-12-26 11:30:00,Serie B,away,home,96,9,87,2.67,0.5866310321983912,False,3
2024-12-26 14:00:00,Serie B,away,away,17,13,4,3.72,0.5280547178567419,True,3
2024-12-26 14:00:00,Serie B,away,away,35,18,17,2.7,0.5132905891391977,True,3
2024-12-26 14:00:00,Serie B,away,home,85,0,85,3.52,0.6281600323221224,False,3
2024-12-26 14:00:00,Serie B,home,home,11,11,0,2.42,0.4935606098663614,True,3
2024-12-26 15:00:00,Jupiler Pro League,away,away,74,8,66,2.0,0.5650716015122937,True,3
2024-12-26 15:00:00,Jupiler Pro League,home,home,120,5,115,1.4,0.6977721945715133,True,3
2024-12-26 17:00:00,Serie B,away,home,53,23,30,4.82,0.5522175600642765,False,3
2024-12-26 19:45:00,Jupiler Pro League,away,away,41,12,29,2.3,0.5175252430521531,True,3
2024-12-27 17:30:00,Jupiler Pro League,home,home,60,11,49,1.83,0.597883073441935,True,3
2024-12-27 19:45:00,Jupiler Pro League,home,away,94,2,92,1.68,0.597206042073088,False,3
2024-12-28 14:00:00,Serie A,away,away,20,4,16,3.43,0.48768855848499815,True,3
