label,odds_min,gap_min,N_all,N_F1,N_F2,WR_all_%,F1_ROI_%,F2_ROI_%,KellyF1_%,KellyF2_%,MaxDD_F2_%,BK_all_$,Avg_ROI_%
"D: structural pure (inj=3,poss=0,xgr=0)",2.2,80,228,55,62,45.6,22.0,4.2,22.3,1.5,31.5,1840.73,13.1
"D: structural pure (inj=3,poss=0,xgr=0)",2.2,90,149,32,44,51.0,41.3,9.8,41.4,6.9,29.0,2937.59,25.5
"D: structural pure (inj=3,poss=0,xgr=0)",2.2,110,26,9,8,61.5,34.2,45.6,31.8,42.3,11.5,1542.34,39.9
"D: structural pure (inj=3,poss=0,xgr=0)",2.4,80,115,26,34,37.4,-9.0,-9.9,-13.8,-14.1,30.5,738.11,-9.5
"D: structural pure (inj=3,poss=0,xgr=0)",2.4,90,63,11,21,46.0,20.7,21.9,18.9,18.9,11.5,1398.68,21.3
"D: structural pure (inj=3,poss=0,xgr=0)",2.6,80,52,11,15,28.8,0.9,-25.2,-2.8,-28.3,21.7,630.62,-12.1
"D: structural pure (inj=3,poss=0,xgr=0)",2.6,90,20,4,7,30.0,44.5,22.9,42.7,17.7,11.5,863.61,33.7
"E: inj=0,poss=3 (best 2.20)",1.65,80,730,142,220,50.8,15.6,-0.2,18.3,-3.8,57.1,1490.96,7.7
"E: inj=0,poss=3 (best 2.20)",1.65,90,595,112,185,53.4,23.7,-2.5,27.0,-5.9,48.5,2953.55,10.6
"E: inj=0,poss=3 (best 2.20)",1.65,110,292,59,81,53.8,16.4,-7.4,17.8,-9.6,47.8,837.56,4.5
"E: inj=0,poss=3 (best 2.20)",1.75,80,592,120,182,48.6,14.3,0.3,15.7,-3.3,51.0,1162.42,7.3
"E: inj=0,poss=3 (best 2.20)",1.75,90,460,90,149,51.3,24.1,-2.6,26.1,-6.4,45.0,2266.98,10.7
"E: inj=0,poss=3 (best 2.20)",1.75,110,183,40,53,49.7,8.7,-6.1,7.9,-8.8,43.6,734.83,1.3
"E: inj=0,poss=3 (best 2.20)",1.9,80,471,96,142,48.0,16.4,5.9,16.5,3.7,45.3,1715.95,11.1
"E: inj=0,poss=3 (best 2.20)",1.9,90,343,66,112,51.3,30.6,4.0,30.8,1.3,42.6,3364.19,17.3
"E: inj=0,poss=3 (best 2.20)",1.9,110,98,22,28,51.0,7.0,19.9,5.4,18.9,25.0,1218.04,13.5
"E: inj=0,poss=3 (best 2.20)",2.0,80,382,78,115,46.1,18.6,3.9,19.0,1.5,42.1,1407.48,11.3
