date,league,side,actual,won,odds,model_prob,mkt_prob,ev,fold
2025-03-09 17:30:00,La Liga,home,draw,False,1.77,0.6828131022390759,0.5657627796668286,0.2068894009626734,Fold1 (2H 2024-25)
2025-03-09 20:00:00,La Liga,home,away,False,2.44,0.513449982776517,0.41002004008016035,0.2522558230961971,Fold1 (2H 2024-25)
2025-03-10 20:15:00,Primeira Liga,home,home,True,2.06,0.6192911670013016,0.48631322993036874,0.2734409201451766,Fold1 (2H 2024-25)
2025-03-14 19:30:00,Bundesliga,home,home,True,2.43,0.5587378072773884,0.41212601545472566,0.355745054485086,Fold1 (2H 2024-25)
2025-03-15 20:00:00,La Liga,home,draw,False,2.09,0.7779587468460057,0.4787234042553191,0.6250693823005455,Fold1 (2H 2024-25)
2025-03-16 15:15:00,La Liga,away,away,True,2.47,0.5718807596395256,0.40506329113924056,0.41183062536007853,Fold1 (2H 2024-25)
2025-03-16 15:30:00,Primeira Liga,home,draw,False,1.98,0.8830313468631314,0.5051038366772262,0.7482174609325134,Fold1 (2H 2024-25)
2025-03-16 16:15:00,Ligue 1,home,away,False,2.47,0.5094367954095057,0.4041204437400951,0.2606063447192082,Fold1 (2H 2024-25)
2025-03-16 17:30:00,La Liga,home,away,False,2.37,0.5873196343331278,0.4213444213444213,0.3939181453004994,Fold1 (2H 2024-25)
2025-03-16 17:30:00,La Liga,home,draw,False,2.42,0.515112666634901,0.41257367387033406,0.248534987224593,Fold1 (2H 2024-25)
2025-03-16 20:00:00,La Liga,away,away,True,2.32,0.5827328908166519,0.43088803088803085,0.35239980933255266,Fold1 (2H 2024-25)
2025-03-29 14:00:00,Serie A,home,draw,False,1.78,0.6980835634735438,0.5615519253208868,0.24313270420119903,Fold1 (2H 2024-25)
2025-03-29 14:30:00,Bundesliga,home,away,False,1.74,0.7334234433381018,0.5738880918220947,0.2779903500166425,Fold1 (2H 2024-25)
2025-03-29 14:30:00,Bundesliga,home,draw,False,2.5,0.7570915789713748,0.4007285974499089,0.8892876220694763,Fold1 (2H 2024-25)
2025-03-29 15:15:00,La Liga,away,draw,False,1.72,0.759295782508754,0.5815383774327575,0.3056675397085902,Fold1 (2H 2024-25)
2025-03-29 16:00:00,Ligue 1,away,home,False,1.69,0.7533181062031499,0.5932203389830508,0.26987909331388127,Fold1 (2H 2024-25)
2025-03-29 17:30:00,La Liga,home,away,False,2.13,0.6346806658363952,0.4685816876122083,0.3544717657887819,Fold1 (2H 2024-25)
2025-03-30 10:30:00,Serie A,home,home,True,1.8,0.7066671433482578,0.556783031374282,0.26919662333103744,Fold1 (2H 2024-25)
2025-03-30 13:00:00,Ligue 1,home,away,False,2.11,0.6105252094672795,0.47291361639824303,0.2909867432388604,Fold1 (2H 2024-25)
2025-03-30 14:30:00,Primeira Liga,home,home,True,1.77,0.722892215326208,0.5651484514786961,0.27911916494644795,Fold1 (2H 2024-25)
2025-03-30 15:30:00,Bundesliga,home,home,True,1.7,0.7448916035156911,0.5869600785340313,0.26906689357154123,Fold1 (2H 2024-25)
2025-03-30 16:30:00,La Liga,home,home,True,2.1,0.8427619051388989,0.4759206798866855,0.770803288773996,Fold1 (2H 2024-25)
2025-03-30 17:00:00,Primeira Liga,away,away,True,1.67,0.773595641444524,0.600404620505123,0.2884571754189609,Fold1 (2H 2024-25)
2025-03-30 18:45:00,Ligue 1,home,home,True,2.12,0.6491001886124366,0.4727272727272727,0.37309655283400045,Fold1 (2H 2024-25)
2025-03-30 18:45:00,Serie A,home,home,True,2.01,0.6126740106699925,0.49843695727683224,0.22919057611073734,Fold1 (2H 2024-25)
2025-04-04 18:45:00,Serie A,home,home,True,2.42,0.6112596230626959,0.41257367387033406,0.48157689589958164,Fold1 (2H 2024-25)
2025-04-05 16:30:00,Bundesliga,home,home,True,2.4,0.5858079958103887,0.41651705565529623,0.4064441968378729,Fold1 (2H 2024-25)
2025-04-05 18:45:00,Serie A,home,draw,False,1.94,0.6542804835984771,0.5153374233128835,0.2696157003160926,Fold1 (2H 2024-25)
2025-04-06 13:30:00,Bundesliga,home,draw,False,2.34,0.7642654765532999,0.4276704769412692,0.7870428700605734,Fold1 (2H 2024-25)
2025-04-06 14:30:00,Primeira Liga,home,away,False,2.34,0.5467082377357585,0.4276704769412692,0.2783399070374373,Fold1 (2H 2024-25)
2025-04-06 15:15:00,Ligue 1,home,away,False,1.88,0.6809151016256374,0.5319148936170213,0.28012039105619846,Fold1 (2H 2024-25)
2025-04-06 15:30:00,Bundesliga,home,home,True,2.36,0.5408479899655897,0.42285270112708895,0.27904584391678533,Fold1 (2H 2024-25)
2025-04-06 17:00:00,Primeira Liga,home,away,False,2.17,0.557520663685691,0.46162382097281307,0.20773807233514874,Fold1 (2H 2024-25)
2025-04-11 19:00:00,La Liga,home,home,True,2.32,0.6124639496035406,0.4317656129529684,0.4185102547067716,Fold1 (2H 2024-25)
2025-04-12 14:30:00,Primeira Liga,home,home,True,2.08,0.5804810053859643,0.4798073360503891,0.2098210297580827,Fold1 (2H 2024-25)
2025-04-13 13:30:00,Bundesliga,home,away,False,1.81,0.6694301278217645,0.5533287619997507,0.20982347890686026,Fold1 (2H 2024-25)
2025-04-13 14:15:00,La Liga,away,away,True,1.73,0.8600080438800934,0.5772208925805997,0.4899114965073912,Fold1 (2H 2024-25)
2025-04-13 16:00:00,Serie A,home,home,True,1.86,0.7417011277748785,0.5389221556886227,0.3762676482044971,Fold1 (2H 2024-25)
2025-04-18 18:45:00,Ligue 1,home,home,True,1.85,0.7445816438804207,0.5392195506503745,0.3808506071086455,Fold1 (2H 2024-25)
2025-04-19 12:00:00,La Liga,home,draw,False,2.42,0.5685734807713395,0.41395531164249316,0.37351415667394594,Fold1 (2H 2024-25)
2025-04-19 14:30:00,Primeira Liga,home,away,False,2.49,0.515367898562955,0.4012133468149647,0.2845233157226874,Fold1 (2H 2024-25)
2025-04-19 16:30:00,La Liga,home,draw,False,1.92,0.6828131022390759,0.5200073197511285,0.3130836361416316,Fold1 (2H 2024-25)
2025-04-20 15:15:00,Ligue 1,away,home,False,2.36,0.6239557358407989,0.423076923076923,0.4748044665327975,Fold1 (2H 2024-25)
2025-04-20 15:15:00,Ligue 1,home,away,False,2.47,0.4993246582005668,0.4048278591214879,0.23342464445047173,Fold1 (2H 2024-25)
2025-04-20 17:30:00,Bundesliga,away,draw,False,1.81,0.7405326383843353,0.5539358600583091,0.33685628929382605,Fold1 (2H 2024-25)
2025-04-22 17:00:00,La Liga,home,draw,False,2.07,0.6958422795418974,0.48390557939914164,0.43797118521740197,Fold1 (2H 2024-25)
2025-04-27 10:30:00,Serie A,home,home,True,1.98,0.6932642072352526,0.5046283963771976,0.37381132772610415,Fold1 (2H 2024-25)
2025-04-27 13:30:00,Bundesliga,home,draw,False,2.36,0.6006158471044608,0.42285270112708895,0.4203902340071488,Fold1 (2H 2024-25)
2025-04-27 14:30:00,Primeira Liga,home,draw,False,2.39,0.5410910805995354,0.41883568448241604,0.2918934576173917,Fold1 (2H 2024-25)
2025-04-27 15:15:00,Ligue 1,home,away,False,1.61,0.7969814033938839,0.6217557060086298,0.2818240278165167,Fold1 (2H 2024-25)
2025-04-27 15:30:00,Bundesliga,home,draw,False,2.13,0.5757794891161993,0.4701492537313433,0.22467383399318575,Fold1 (2H 2024-25)
2025-05-02 18:30:00,Bundesliga,home,draw,False,2.37,0.5639258227984499,0.42217898832684825,0.3357505664442548,Fold1 (2H 2024-25)
2025-05-04 13:00:00,Ligue 1,home,away,False,2.0,0.6337804443614515,0.4992827177367116,0.2693818989658381,Fold1 (2H 2024-25)
2025-05-04 13:30:00,Bundesliga,home,away,False,1.9,0.6459735379357259,0.5263157894736842,0.2273497220778793,Fold1 (2H 2024-25)
2025-05-04 15:30:00,Bundesliga,away,draw,False,2.36,0.554267729130998,0.42285270112708895,0.3107820469246856,Fold1 (2H 2024-25)
2025-05-04 17:00:00,Primeira Liga,home,draw,False,2.13,0.6744946233993107,0.4697535474234503,0.4358478548993274,Fold1 (2H 2024-25)
2025-05-05 19:00:00,La Liga,home,home,True,2.06,0.7206364054326304,0.48657187993680884,0.4810481968793996,Fold1 (2H 2024-25)
2025-05-09 18:45:00,Serie A,home,home,True,2.44,0.5115517991002402,0.40930979133226325,0.2497912581939199,Fold1 (2H 2024-25)
2025-05-10 12:00:00,La Liga,home,home,True,2.08,0.6215664361901241,0.48009061601463804,0.29468566028204224,Fold1 (2H 2024-25)
2025-05-10 13:00:00,Serie A,home,home,True,1.84,0.653487465328965,0.543564639689755,0.2022258579990588,Fold1 (2H 2024-25)
2025-05-10 14:30:00,Primeira Liga,home,draw,False,2.06,0.6828131022390759,0.4850444624090542,0.4077330124495613,Fold1 (2H 2024-25)
2025-05-10 18:45:00,Serie A,home,home,True,2.37,0.6090042744765196,0.42217898832684825,0.44252625382917565,Fold1 (2H 2024-25)
2025-05-10 19:00:00,Ligue 1,home,away,False,2.07,0.6088516754453328,0.4830216088614491,0.26050608145768694,Fold1 (2H 2024-25)
