ws_gap,ws_dom,odds_min,odds_max,f1_n,f1_wr,f1_roi,f2_n,f2_wr,f2_roi,avg_roi
70,65,1.7,3.0,197,0.5329949238578681,11.375634517766501,302,0.4602649006622517,-5.533112582781459,2.9212609674925214
70,70,1.7,3.0,197,0.5329949238578681,11.375634517766501,302,0.4602649006622517,-5.533112582781459,2.9212609674925214
60,75,1.7,2.5,184,0.532608695652174,7.641304347826089,293,0.4880546075085324,-1.8054607508532419,2.9179217984864234
60,70,1.7,2.5,193,0.533678756476684,7.461139896373059,313,0.48562300319488816,-2.287539936102237,2.586799980135411
70,85,1.7,3.0,175,0.5257142857142857,9.320000000000002,267,0.4681647940074906,-4.295880149812733,2.5120599250936344
80,85,2.0,4.0,93,0.4731182795698925,8.021505376344086,136,0.4264705882352941,-3.0367647058823533,2.4923703352308664
80,85,2.0,99.0,93,0.4731182795698925,8.021505376344086,136,0.4264705882352941,-3.0367647058823533,2.4923703352308664
80,70,1.7,3.0,164,0.5304878048780488,9.060975609756097,239,0.4686192468619247,-4.3179916317991625,2.3714919889784674
80,65,1.7,3.0,164,0.5304878048780488,9.060975609756097,239,0.4686192468619247,-4.3179916317991625,2.3714919889784674
80,80,1.7,3.0,164,0.5304878048780488,9.060975609756097,239,0.4686192468619247,-4.3179916317991625,2.3714919889784674
80,75,1.7,3.0,164,0.5304878048780488,9.060975609756097,239,0.4686192468619247,-4.3179916317991625,2.3714919889784674
50,75,1.7,2.5,192,0.5260416666666666,6.5052083333333375,302,0.4867549668874172,-1.867549668874172,2.3188293322295825
50,70,2.0,99.0,158,0.4430379746835443,8.259493670886076,271,0.3948339483394834,-3.7749077490774914,2.2422929609042925
50,70,1.7,2.5,205,0.5219512195121951,5.209756097560976,331,0.49244712990936557,-0.824773413897281,2.1924913418318472
60,80,1.7,3.0,201,0.5174129353233831,8.21393034825871,313,0.46325878594249204,-3.9137380191693265,2.150096164544692
60,65,2.0,4.0,152,0.45394736842105265,10.296052631578945,259,0.38996138996138996,-6.162162162162159,2.066945234708393
90,70,1.7,2.5,117,0.5384615384615384,7.222222222222221,169,0.48520710059171596,-3.390532544378697,1.9158448389217622
90,75,1.7,2.5,117,0.5384615384615384,7.222222222222221,169,0.48520710059171596,-3.390532544378697,1.9158448389217622
90,85,1.7,2.5,117,0.5384615384615384,7.222222222222221,169,0.48520710059171596,-3.390532544378697,1.9158448389217622
90,80,1.7,2.5,117,0.5384615384615384,7.222222222222221,169,0.48520710059171596,-3.390532544378697,1.9158448389217622
90,65,1.7,2.5,117,0.5384615384615384,7.222222222222221,169,0.48520710059171596,-3.390532544378697,1.9158448389217622
50,70,2.0,4.0,154,0.44805194805194803,8.14935064935065,263,0.39923954372623577,-4.395437262357413,1.8769566934966182
50,80,1.7,3.0,205,0.5121951219512195,7.2243902439024374,322,0.46273291925465837,-3.493788819875774,1.8653007120133318
70,85,2.0,4.0,114,0.45614035087719296,6.368421052631577,158,0.4240506329113924,-2.8164556962025324,1.7759826782145223
90,75,2.0,99.0,62,0.45161290322580644,0.693548387096773,93,0.45161290322580644,2.5268817204301066,1.6102150537634399
90,75,2.0,4.0,62,0.45161290322580644,0.693548387096773,93,0.45161290322580644,2.5268817204301066,1.6102150537634399
90,70,2.0,99.0,62,0.45161290322580644,0.693548387096773,93,0.45161290322580644,2.5268817204301066,1.6102150537634399
90,85,2.0,99.0,62,0.45161290322580644,0.693548387096773,93,0.45161290322580644,2.5268817204301066,1.6102150537634399
90,70,2.0,4.0,62,0.45161290322580644,0.693548387096773,93,0.45161290322580644,2.5268817204301066,1.6102150537634399
90,85,2.0,4.0,62,0.45161290322580644,0.693548387096773,93,0.45161290322580644,2.5268817204301066,1.6102150537634399
90,65,2.0,99.0,62,0.45161290322580644,0.693548387096773,93,0.45161290322580644,2.5268817204301066,1.6102150537634399
90,65,2.0,4.0,62,0.45161290322580644,0.693548387096773,93,0.45161290322580644,2.5268817204301066,1.6102150537634399
90,80,2.0,4.0,62,0.45161290322580644,0.693548387096773,93,0.45161290322580644,2.5268817204301066,1.6102150537634399
90,80,2.0,99.0,62,0.45161290322580644,0.693548387096773,93,0.45161290322580644,2.5268817204301066,1.6102150537634399
60,65,2.0,99.0,154,0.44805194805194803,8.86363636363636,263,0.38783269961977185,-5.688212927756652,1.5877117179398539
60,70,2.0,4.0,146,0.4520547945205479,9.075342465753424,244,0.39344262295081966,-5.967213114754097,1.5540646754996637
70,85,2.0,99.0,114,0.45614035087719296,6.368421052631577,159,0.42138364779874216,-3.4276729559748436,1.4703740483283667
70,80,1.5,2.5,247,0.5546558704453441,4.42105263157895,406,0.5369458128078818,-2.0714285714285694,1.17481203007519
70,75,2.0,4.0,125,0.464,10.104,185,0.4,-7.82162162162162,1.1411891891891894
60,65,1.7,2.5,202,0.5247524752475248,5.683168316831684,325,0.48,-3.4492307692307724,1.1169687738004557
70,65,2.0,4.0,126,0.46825396825396826,11.015873015873012,187,0.39572192513368987,-8.80748663101604,1.104193192428486
70,70,2.0,4.0,126,0.46825396825396826,11.015873015873012,187,0.39572192513368987,-8.80748663101604,1.104193192428486
60,85,1.7,3.0,181,0.5138121546961326,6.856353591160221,279,0.4659498207885305,-4.698924731182797,1.078714429988712
60,70,2.0,99.0,148,0.44594594594594594,7.60135135135135,248,0.3911290322580645,-5.46774193548387,1.06680470793374
70,80,2.0,4.0,123,0.45528455284552843,7.016260162601625,175,0.4114285714285714,-5.24,0.8881300813008126
50,85,1.7,3.0,184,0.5108695652173914,6.364130434782609,284,0.4647887323943662,-4.63380281690141,0.8651638089405997
50,65,1.7,2.5,219,0.5114155251141552,3.2237442922374417,361,0.4903047091412742,-1.49584487534626,0.8639497084455908
70,85,1.5,2.5,233,0.5536480686695279,4.051502145922748,388,0.5335051546391752,-2.4948453608247387,0.7783283925490045
80,80,1.5,2.5,222,0.5630630630630631,5.247747747747749,347,0.5273775216138329,-3.7492795389048967,0.7492341044214264
80,70,1.5,2.5,222,0.5630630630630631,5.247747747747749,347,0.5273775216138329,-3.7492795389048967,0.7492341044214264
