date,match_id,league,outcome,actual,ws_home,ws_away,ws_dominant,ws_weak,ws_gap,odds,p_elo,p_market,won
2024-08-24 17:30:00,6574,Serie B,home,home,27,20,27,20,7,2.46,0.5,0.40639082343301924,True
2024-08-24 18:00:00,5038,Eredivisie,away,away,8,145,145,8,137,1.26,0.5880029949898598,0.7963897000265463,True
2024-08-24 18:30:00,6580,Serie B,home,away,49,1,49,1,48,2.28,0.5459219227804837,0.43940125543215836,False
2024-08-24 18:30:00,6579,Serie B,home,home,45,12,45,12,33,1.72,0.5,0.5815383774327575,True
2024-08-24 18:30:00,6578,Serie B,away,home,14,19,19,14,5,3.4,0.5,0.29448818897637796,False
2024-08-24 18:30:00,6577,Serie B,away,home,3,35,35,3,32,3.87,0.5230095872975623,0.25808281338627337,False
2024-08-24 18:30:00,6576,Serie B,home,away,27,21,27,21,6,1.77,0.5,0.5657627796668286,False
2024-08-24 18:30:00,6575,Serie B,away,home,24,41,41,24,17,3.59,0.4769904127024377,0.27842679127725856,False
2024-08-24 18:45:00,1628,Serie A,away,away,13,25,25,13,12,2.97,0.5,0.3366583541147132,True
2024-08-24 18:45:00,1627,Serie A,home,home,61,16,61,16,45,1.26,0.5230095872975623,0.7913043478260869,True
2024-08-24 18:45:00,6281,Jupiler Pro League,home,away,63,4,63,4,59,1.55,0.5347177840589125,0.6442376521116678,False
2024-08-24 19:00:00,2007,Ligue 1,home,away,14,10,14,10,4,2.13,0.5,0.468960359012715,False
2024-08-24 19:00:00,5044,Eredivisie,away,away,14,50,50,14,36,2.01,0.5187874362264666,0.4971246449109679,True
2024-08-24 19:30:00,6975,Primeira Liga,home,home,53,13,53,13,40,1.76,0.5459219227804837,0.5687036382903567,True
2024-08-24 19:30:00,882,La Liga,away,away,17,45,45,17,28,2.25,0.5,0.44386129334582947,True
2024-08-24 19:30:00,6974,Primeira Liga,home,home,73,4,73,4,69,1.2,0.5219520991413947,0.8325171400587659,True
2024-08-25 11:30:00,6282,Jupiler Pro League,home,away,54,50,54,50,4,5.99,0.5605492842428511,0.16704463108066545,False
2024-08-25 13:00:00,2008,Ligue 1,home,home,67,5,67,5,62,1.99,0.5459219227804837,0.5022116366110921,True
2024-08-25 13:00:00,490,Premier League,away,away,10,46,46,10,36,1.96,0.5,0.509891622226045,True
2024-08-25 13:30:00,1314,Bundesliga,away,away,1,33,33,1,32,1.62,0.5,0.6179775280898876,True
2024-08-25 14:30:00,6976,Primeira Liga,away,home,13,18,18,13,5,3.87,0.5219565691183341,0.25808281338627337,False
2024-08-25 14:45:00,5067,Eredivisie,home,home,24,18,24,18,6,1.82,0.49894484952375634,0.5503745604647607,True
2024-08-25 15:00:00,883,La Liga,home,home,45,34,45,34,11,1.21,0.4769904127024377,0.8267477203647416,True
2024-08-25 15:00:00,2011,Ligue 1,away,home,6,35,35,6,29,3.43,0.5230095872975623,0.2916053019145803,False
2024-08-25 15:00:00,2010,Ligue 1,away,home,4,62,62,4,58,2.33,0.5230095872975623,0.4285714285714286,False
2024-08-25 15:30:00,492,Premier League,home,home,45,17,45,17,28,1.29,0.5,0.7780921584478576,True
2024-08-25 15:30:00,1315,Bundesliga,away,away,1,2,2,1,1,3.8,0.5,0.2631578947368421,True
2024-08-25 16:30:00,6284,Jupiler Pro League,home,home,43,6,43,6,37,2.08,0.5635916598894112,0.48020954598370197,True
2024-08-25 16:30:00,1630,Serie A,away,home,6,78,78,6,72,2.26,0.5230095872975623,0.4427206508371961,False
2024-08-25 17:00:00,884,La Liga,away,home,17,24,24,17,7,3.49,0.5,0.28681610026512416,False
2024-08-25 17:15:00,6285,Jupiler Pro League,home,home,14,1,14,1,13,1.89,0.4958623168319608,0.5284126651289578,True
2024-08-25 18:30:00,6582,Serie B,away,home,5,33,33,5,28,3.29,0.5230095872975623,0.30420841683366734,False
2024-08-25 18:45:00,1632,Serie A,home,away,53,16,53,16,37,1.55,0.5,0.6471238938053098,False
2024-08-25 18:45:00,1631,Serie A,away,home,29,35,35,29,6,4.31,0.5230095872975623,0.23210222300017505,False
2024-08-25 19:30:00,6978,Primeira Liga,home,home,45,31,45,31,14,1.79,0.4801589865763447,0.5590930268675262,True
2024-08-25 19:30:00,886,La Liga,home,home,56,20,56,20,36,1.57,0.5,0.6386964914272737,True
2024-08-25 19:30:00,6979,Primeira Liga,away,home,4,118,118,4,114,1.88,0.5676058273557352,0.531829170024174,False
2024-08-26 18:45:00,1634,Serie A,away,away,29,48,48,29,19,1.93,0.5,0.5182625863770978,True
2024-08-26 19:30:00,887,La Liga,away,home,30,49,49,30,19,4.56,0.5208988849692356,0.21945293518300807,False
2024-08-27 18:30:00,6589,Serie B,home,home,34,23,34,23,11,2.63,0.5230095872975623,0.3808607838422698,True
2024-08-27 18:30:00,6586,Serie B,home,away,57,4,57,4,53,2.07,0.544871027446134,0.4830216088614491,False
2024-08-27 18:30:00,6585,Serie B,away,away,4,44,44,4,40,2.27,0.5198410134236553,0.44113461720899344,True
2024-08-27 18:30:00,6584,Serie B,away,home,5,95,95,5,90,2.61,0.5910755963149434,0.38247011952191234,False
2024-08-27 18:30:00,6588,Serie B,home,home,20,10,20,10,10,2.97,0.5251194681318031,0.3366583541147132,True
2024-08-27 19:30:00,889,La Liga,away,away,18,81,81,18,63,1.68,0.5230095872975623,0.5959637003927942,True
2024-08-28 17:00:00,891,La Liga,home,home,32,15,32,15,17,1.77,0.5219565691183342,0.5651484514786961,True
2024-08-28 18:30:00,6592,Serie B,home,home,35,3,35,3,32,1.85,0.49788075138251137,0.5392195506503745,True
2024-08-28 18:30:00,6590,Serie B,home,home,18,14,18,14,4,2.76,0.49788075138251137,0.36258755665430564,True
2024-08-28 19:30:00,892,La Liga,home,away,50,13,50,13,37,1.76,0.5219520991413947,0.5696460056964601,False
2024-08-29 17:00:00,894,La Liga,away,home,15,46,46,15,31,5.28,0.5459219227804837,0.18953525594389314,False
2024-08-30 16:30:00,1635,Serie A,away,away,7,60,60,7,53,2.33,0.5459219227804837,0.4285714285714286,True
2024-08-30 18:00:00,5072,Eredivisie,away,away,6,136,136,6,130,1.49,0.6091624839328855,0.6728971962616822,True
2024-08-30 18:30:00,1316,Bundesliga,home,home,18,11,18,11,7,2.01,0.5230095872975623,0.4971246449109679,True
2024-08-30 18:45:00,2013,Ligue 1,away,home,7,67,67,7,60,3.8,0.5676058273557352,0.2631578947368421,False
2024-08-30 18:45:00,6286,Jupiler Pro League,home,home,49,29,49,29,20,1.7,0.4818587962503899,0.5879059350503919,True
2024-08-30 18:45:00,1636,Serie A,home,home,78,27,78,27,51,1.65,0.5230095872975623,0.6067809651932196,True
2024-08-31 13:30:00,1318,Bundesliga,away,away,16,34,34,16,18,2.36,0.5,0.4240687679083095,True
2024-08-31 13:30:00,1317,Bundesliga,away,away,13,32,32,13,19,2.47,0.5,0.4055228347977214,True
2024-08-31 13:30:00,1320,Bundesliga,away,home,16,47,47,16,31,4.56,0.5459219227804837,0.21953720447195677,False
2024-08-31 14:00:00,512,Premier League,away,away,2,52,52,2,50,1.97,0.5240668692075855,0.5064935064935064,True
2024-08-31 14:00:00,510,Premier League,away,away,11,60,60,11,49,2.6,0.5459219227804837,0.38526912181303113,True
2024-08-31 14:00:00,508,Premier League,home,home,39,6,39,6,33,1.89,0.544871027446134,0.5292717447246527,True
2024-08-31 14:00:00,6287,Jupiler Pro League,away,home,1,43,43,1,42,2.72,0.5374159012194679,0.3672039243167485,False
2024-08-31 14:30:00,6981,Primeira Liga,home,home,34,9,34,9,25,1.75,0.518848399697309,0.5725971370143149,True
2024-08-31 15:00:00,896,La Liga,home,home,93,7,93,7,86,1.31,0.5665130458184051,0.7635381181722072,True
2024-08-31 15:00:00,2014,Ligue 1,home,home,22,19,22,19,3,1.92,0.502114770086203,0.5215686274509804,True
2024-08-31 16:15:00,6288,Jupiler Pro League,away,away,1,99,99,1,98,2.53,0.6017059827330081,0.39593908629441626,True
2024-08-31 16:30:00,513,Premier League,away,away,7,98,98,7,91,1.51,0.5438241765126881,0.6617257808364214,True
2024-08-31 16:30:00,1638,Serie A,away,home,8,45,45,8,37,3.57,0.543819732303367,0.27982899339292655,False
2024-08-31 16:30:00,1322,Bundesliga,home,away,46,35,46,35,11,1.75,0.5,0.5721710787120644,False
2024-08-31 16:45:00,5083,Eredivisie,home,away,59,8,59,8,51,2.28,0.5645345962687073,0.43940125543215836,False
2024-08-31 17:00:00,6983,Primeira Liga,away,away,13,16,16,13,3,3.32,0.4770345397509945,0.3015157722244981,True
2024-08-31 17:00:00,2015,Ligue 1,away,away,5,51,51,5,46,3.29,0.5459219227804837,0.303508080409933,True
2024-08-31 17:00:00,897,La Liga,away,away,15,33,33,15,18,2.78,0.5198059358056522,0.3601625348875389,True
2024-08-31 17:15:00,898,La Liga,away,home,7,44,44,7,37,2.93,0.5427857550486883,0.3409090909090909,False
2024-08-31 18:00:00,5088,Eredivisie,home,home,30,15,30,15,15,1.74,0.499134807451718,0.5738880918220947,True
2024-08-31 18:30:00,6597,Serie B,home,away,23,6,23,6,17,2.24,0.5189286746347578,0.4469434832756632,False
2024-08-31 18:30:00,6595,Serie B,home,away,44,5,44,5,39,2.49,0.5427111594823595,0.4020260838352012,False
2024-08-31 18:30:00,6594,Serie B,home,away,44,22,44,22,22,2.71,0.5458397215994061,0.36874677668901495,False
2024-08-31 18:30:00,6596,Serie B,home,home,36,19,36,19,17,1.84,0.49918345189426744,0.5420741468672235,True
2024-08-31 18:45:00,6289,Jupiler Pro League,home,home,11,5,11,5,6,2.06,0.5067313579136882,0.48611111111111116,True
2024-08-31 18:45:00,1639,Serie A,home,home,53,23,53,23,30,1.51,0.4780479008586052,0.6611981108625404,True
2024-08-31 19:00:00,2016,Ligue 1,away,away,10,78,78,10,68,2.33,0.5219565691183341,0.4295665634674923,True
2024-08-31 19:00:00,5094,Eredivisie,home,away,27,22,27,22,5,3.26,0.5179187159939922,0.3067869752844252,False
2024-08-31 19:30:00,6984,Primeira Liga,home,home,58,43,58,43,15,1.95,0.49690820212085773,0.5116751269035532,True
2024-08-31 19:30:00,900,La Liga,home,away,42,5,42,5,37,3.05,0.5448227295214959,0.32738095238095233,False
2024-09-01 10:15:00,5100,Eredivisie,away,home,51,55,55,51,4,2.58,0.4789070206453202,0.3883495145631068,False
2024-09-01 11:30:00,6290,Jupiler Pro League,home,home,64,20,64,20,44,1.65,0.5256826564222862,0.6057427559984266,True
2024-09-01 12:30:00,5105,Eredivisie,away,home,12,31,31,12,19,3.58,0.5478739759905148,0.2795282845034089,False
2024-09-01 12:30:00,514,Premier League,home,home,47,37,47,37,10,2.5,0.5,0.3994572260592477,True
2024-09-01 13:30:00,1323,Bundesliga,home,home,38,8,38,8,30,2.5,0.5230095872975623,0.39988968560397137,True
2024-09-01 14:30:00,6985,Primeira Liga,away,home,12,19,19,12,7,3.83,0.4810816807755308,0.2611940298507463,False
2024-09-01 14:45:00,5111,Eredivisie,home,home,114,23,114,23,91,1.17,0.5850480992275068,0.8551239929789819,True
2024-09-01 15:00:00,902,La Liga,home,home,32,11,32,11,21,1.91,0.5229171854096638,0.5223880597014926,True
2024-09-01 15:00:00,2018,Ligue 1,away,home,6,10,10,6,4,2.7,0.4989403709322128,0.3703703703703704,False
2024-09-01 15:00:00,2019,Ligue 1,away,home,5,65,65,5,60,2.42,0.5198410134236553,0.41257367387033406,False
2024-09-01 15:00:00,2020,Ligue 1,away,away,12,48,48,12,36,2.06,0.5219565691183341,0.48657187993680884,True
2024-09-01 15:00:00,901,La Liga,away,home,13,30,30,13,17,3.05,0.5220491123830866,0.3276209677419355,False
2024-09-01 15:30:00,1324,Bundesliga,home,home,58,23,58,23,35,1.27,0.5,0.7879656160458453,True
2024-09-01 16:30:00,1642,Serie A,home,away,14,9,14,9,5,2.18,0.5230095872975623,0.45971385542168675,False
2024-09-01 17:00:00,903,La Liga,away,away,9,42,42,9,33,2.55,0.525119468131803,0.392524838353572,True
2024-09-01 17:00:00,6986,Primeira Liga,home,home,21,11,21,11,10,2.55,0.4989888640034751,0.39215686274509803,True
2024-09-01 18:30:00,6601,Serie B,away,home,15,28,28,15,13,3.22,0.520991837959202,0.31097560975609756,False
2024-09-01 18:30:00,6599,Serie B,away,home,11,27,27,11,16,3.84,0.5032321055394837,0.26070799921768045,False
2024-09-01 18:30:00,6602,Serie B,away,home,20,22,22,20,2,3.19,0.5001462846326279,0.3137254901960784,False
2024-09-01 18:45:00,1644,Serie A,home,home,49,5,49,5,44,2.36,0.5459219227804837,0.423076923076923,True
2024-09-01 18:45:00,2021,Ligue 1,away,away,47,73,73,47,26,1.91,0.5010551504762437,0.5231388329979879,True
2024-09-01 19:30:00,6988,Primeira Liga,away,home,44,47,47,44,3,4.26,0.5479575523165261,0.23455440131219243,False
2024-09-01 19:30:00,905,La Liga,home,home,75,9,75,9,66,1.29,0.5229657820152323,0.7755791985681615,True
2024-09-13 18:30:00,1325,Bundesliga,home,home,67,26,67,26,41,1.47,0.4769904127024377,0.6803044719314938,True
2024-09-13 18:45:00,2022,Ligue 1,away,home,4,130,130,4,126,1.81,0.5889821649043114,0.5524619634322796,False
2024-09-13 18:45:00,6294,Jupiler Pro League,home,away,33,10,33,10,23,2.29,0.5399844316555271,0.4374145674672915,False
2024-09-13 19:00:00,906,La Liga,away,home,21,29,29,21,8,6.03,0.5198449546033488,0.16596931659693168,False
2024-09-13 19:15:00,6989,Primeira Liga,away,away,6,137,137,6,131,1.31,0.6271585343850399,0.765685019206146,True
2024-09-14 12:00:00,907,La Liga,away,away,6,49,49,6,43,3.47,0.5397503835643679,0.28846153846153844,True
2024-09-14 13:00:00,6605,Serie B,away,home,5,54,54,5,49,4.0,0.5674820856603261,0.2499285646252024,False
2024-09-14 13:00:00,6606,Serie B,home,home,20,3,20,3,17,2.72,0.5198949877628106,0.3670872875169465,True
2024-09-14 13:00:00,6608,Serie B,home,away,57,21,57,21,36,3.06,0.5607007919853605,0.3266197674180118,False
2024-09-14 13:30:00,1329,Bundesliga,home,away,8,8,8,8,0,2.74,0.497885229913797,0.3647199046483909,False
2024-09-14 13:30:00,1328,Bundesliga,away,away,27,46,46,27,19,2.52,0.47804790085860527,0.3967517401392111,True
2024-09-14 13:30:00,1327,Bundesliga,home,home,57,4,57,4,53,1.64,0.5459219227804837,0.6102722850464337,True
2024-09-14 13:30:00,1326,Bundesliga,away,away,22,66,66,22,44,1.5,0.502114770086203,0.6658656253129068,True
2024-09-14 14:00:00,6295,Jupiler Pro League,away,away,13,111,111,13,98,2.62,0.5855681768475669,0.38231121559725995,True
2024-09-14 14:15:00,908,La Liga,away,home,4,39,39,4,35,2.73,0.5418374253486422,0.3658536585365854,False
2024-09-14 14:30:00,6990,Primeira Liga,away,home,3,52,52,3,49,2.9,0.5626387733719228,0.344454984121747,False
2024-09-14 14:30:00,5122,Eredivisie,home,home,105,9,105,9,96,1.19,0.5774088486753776,0.8377135348226018,True
