ODDS_MIN,GAP_MIN,EV_MIN_%,N_all,WR_all_%,FlatROI_all_%,BK_all_$,N_F1,WR_F1_%,FlatROI_F1_%,KellyROI_F1_%,N_F2,WR_F2_%,FlatROI_F2_%,KellyROI_F2_%,MaxDD_F2_%,Avg_F1_F2_%
2.1,100,20,151,49.7,13.8,1957.92,38,60.5,39.0,37.9,47,42.6,-1.5,-4.5,36.6,18.7
2.1,100,18,151,49.7,13.8,1957.92,38,60.5,39.0,37.9,47,42.6,-1.5,-4.5,36.6,18.7
2.1,100,15,151,49.7,13.8,1957.92,38,60.5,39.0,37.9,47,42.6,-1.5,-4.5,36.6,18.7
2.1,100,12,151,49.7,13.8,1957.92,38,60.5,39.0,37.9,47,42.6,-1.5,-4.5,36.6,18.7
2.1,100,10,151,49.7,13.8,1957.92,38,60.5,39.0,37.9,47,42.6,-1.5,-4.5,36.6,18.7
2.1,100,7,151,49.7,13.8,1957.92,38,60.5,39.0,37.9,47,42.6,-1.5,-4.5,36.6,18.7
2.1,100,5,151,49.7,13.8,1957.92,38,60.5,39.0,37.9,47,42.6,-1.5,-4.5,36.6,18.7
2.4,100,15,39,46.2,17.1,1242.09,7,42.9,18.3,15.2,15,46.7,18.7,16.2,15.5,18.5
2.4,100,12,39,46.2,17.1,1242.09,7,42.9,18.3,15.2,15,46.7,18.7,16.2,15.5,18.5
2.4,100,3,39,46.2,17.1,1242.09,7,42.9,18.3,15.2,15,46.7,18.7,16.2,15.5,18.5
2.4,100,5,39,46.2,17.1,1242.09,7,42.9,18.3,15.2,15,46.7,18.7,16.2,15.5,18.5
2.4,100,7,39,46.2,17.1,1242.09,7,42.9,18.3,15.2,15,46.7,18.7,16.2,15.5,18.5
2.4,100,10,39,46.2,17.1,1242.09,7,42.9,18.3,15.2,15,46.7,18.7,16.2,15.5,18.5
2.4,100,25,39,46.2,17.1,1242.09,7,42.9,18.3,15.2,15,46.7,18.7,16.2,15.5,18.5
2.4,100,20,39,46.2,17.1,1242.09,7,42.9,18.3,15.2,15,46.7,18.7,16.2,15.5,18.5
2.4,100,18,39,46.2,17.1,1242.09,7,42.9,18.3,15.2,15,46.7,18.7,16.2,15.5,18.5
2.0,90,20,294,49.7,12.4,3147.69,61,57.4,30.9,32.0,101,46.5,5.7,3.5,34.1,18.3
2.0,90,25,286,49.7,12.6,3125.68,60,56.7,29.7,30.7,98,46.9,6.8,4.8,31.6,18.2
2.0,90,5,297,49.5,11.9,3034.83,61,57.4,30.9,32.0,102,46.1,4.7,2.3,34.1,17.8
2.0,90,3,297,49.5,11.9,3034.83,61,57.4,30.9,32.0,102,46.1,4.7,2.3,34.1,17.8
2.0,90,18,295,49.5,12.0,3021.78,61,57.4,30.9,32.0,102,46.1,4.7,2.3,34.1,17.8
2.0,90,15,295,49.5,12.0,3021.78,61,57.4,30.9,32.0,102,46.1,4.7,2.3,34.1,17.8
2.0,90,12,297,49.5,11.9,3034.83,61,57.4,30.9,32.0,102,46.1,4.7,2.3,34.1,17.8
2.0,90,10,297,49.5,11.9,3034.83,61,57.4,30.9,32.0,102,46.1,4.7,2.3,34.1,17.8
2.0,90,7,297,49.5,11.9,3034.83,61,57.4,30.9,32.0,102,46.1,4.7,2.3,34.1,17.8
2.1,80,5,336,46.1,8.3,2092.23,76,53.9,26.5,28.5,105,45.7,6.6,4.5,37.6,16.6
2.1,80,20,336,46.1,8.3,2092.23,76,53.9,26.5,28.5,105,45.7,6.6,4.5,37.6,16.6
2.1,80,18,336,46.1,8.3,2092.23,76,53.9,26.5,28.5,105,45.7,6.6,4.5,37.6,16.6
2.1,80,15,336,46.1,8.3,2092.23,76,53.9,26.5,28.5,105,45.7,6.6,4.5,37.6,16.6
2.1,80,12,336,46.1,8.3,2092.23,76,53.9,26.5,28.5,105,45.7,6.6,4.5,37.6,16.6
2.1,80,10,336,46.1,8.3,2092.23,76,53.9,26.5,28.5,105,45.7,6.6,4.5,37.6,16.6
2.1,80,7,336,46.1,8.3,2092.23,76,53.9,26.5,28.5,105,45.7,6.6,4.5,37.6,16.6
2.1,80,3,336,46.1,8.3,2092.23,76,53.9,26.5,28.5,105,45.7,6.6,4.5,37.6,16.6
2.1,80,25,331,46.2,8.6,2161.39,76,53.9,26.5,28.5,104,45.2,5.7,3.4,40.3,16.1
2.2,80,3,258,45.7,10.5,2182.46,60,51.7,24.6,25.1,79,44.3,6.9,4.4,30.4,15.8
2.2,80,5,258,45.7,10.5,2182.46,60,51.7,24.6,25.1,79,44.3,6.9,4.4,30.4,15.8
2.2,80,7,258,45.7,10.5,2182.46,60,51.7,24.6,25.1,79,44.3,6.9,4.4,30.4,15.8
2.2,80,10,258,45.7,10.5,2182.46,60,51.7,24.6,25.1,79,44.3,6.9,4.4,30.4,15.8
2.2,80,12,258,45.7,10.5,2182.46,60,51.7,24.6,25.1,79,44.3,6.9,4.4,30.4,15.8
2.2,80,15,258,45.7,10.5,2182.46,60,51.7,24.6,25.1,79,44.3,6.9,4.4,30.4,15.8
2.2,80,18,258,45.7,10.5,2182.46,60,51.7,24.6,25.1,79,44.3,6.9,4.4,30.4,15.8
2.2,80,20,258,45.7,10.5,2182.46,60,51.7,24.6,25.1,79,44.3,6.9,4.4,30.4,15.8
2.2,80,25,257,45.5,10.1,2082.5,60,51.7,24.6,25.1,79,44.3,6.9,4.4,30.4,15.8
2.0,100,25,189,50.3,12.2,2081.38,43,58.1,32.2,31.2,63,44.4,-0.9,-3.7,39.3,15.7
2.0,100,5,195,49.7,10.9,1915.74,44,59.1,33.9,32.9,65,43.1,-3.9,-7.0,44.1,15.0
2.0,100,10,195,49.7,10.9,1915.74,44,59.1,33.9,32.9,65,43.1,-3.9,-7.0,44.1,15.0
2.0,100,12,195,49.7,10.9,1915.74,44,59.1,33.9,32.9,65,43.1,-3.9,-7.0,44.1,15.0
2.0,100,15,195,49.7,10.9,1915.74,44,59.1,33.9,32.9,65,43.1,-3.9,-7.0,44.1,15.0
2.0,100,18,195,49.7,10.9,1915.74,44,59.1,33.9,32.9,65,43.1,-3.9,-7.0,44.1,15.0
2.0,100,20,195,49.7,10.9,1915.74,44,59.1,33.9,32.9,65,43.1,-3.9,-7.0,44.1,15.0
2.0,100,3,195,49.7,10.9,1915.74,44,59.1,33.9,32.9,65,43.1,-3.9,-7.0,44.1,15.0
2.0,100,7,195,49.7,10.9,1915.74,44,59.1,33.9,32.9,65,43.1,-3.9,-7.0,44.1,15.0
1.9,90,20,366,50.8,11.3,3640.38,77,55.8,23.7,24.4,124,48.4,6.3,4.7,39.8,15.0
1.9,90,3,379,50.7,10.5,3361.79,77,55.8,23.7,24.4,128,48.4,6.0,3.7,37.8,14.8
1.9,90,5,379,50.7,10.5,3361.79,77,55.8,23.7,24.4,128,48.4,6.0,3.7,37.8,14.8
1.9,90,18,369,50.4,10.4,3220.77,77,55.8,23.7,24.4,125,48.0,5.4,3.6,39.8,14.6
1.9,90,25,342,50.9,12.1,3742.81,74,55.4,23.3,23.8,117,47.9,5.9,4.2,37.5,14.6
1.9,90,7,378,50.5,10.3,3314.99,77,55.8,23.7,24.4,127,48.0,5.3,3.4,37.8,14.5
1.9,90,10,378,50.5,10.3,3314.99,77,55.8,23.7,24.4,127,48.0,5.3,3.4,37.8,14.5
1.9,90,12,377,50.7,10.6,3426.4,77,55.8,23.7,24.4,127,48.0,5.3,3.4,37.8,14.5
1.9,90,15,371,50.4,10.3,3203.25,77,55.8,23.7,24.4,126,47.6,4.6,2.6,39.8,14.1
2.0,80,25,386,46.9,7.8,2198.71,83,51.8,20.7,22.2,127,47.2,7.3,5.4,31.1,14.0
2.0,80,20,398,46.7,7.1,2037.34,85,51.8,20.2,22.1,130,46.9,6.4,4.4,33.7,13.3
2.0,80,18,406,46.3,6.0,1731.51,85,51.8,20.2,22.1,132,46.2,4.8,2.5,36.4,12.5
2.0,80,15,407,46.4,6.2,1800.77,85,51.8,20.2,22.1,132,46.2,4.8,2.5,36.4,12.5
2.0,80,12,409,46.5,6.2,1808.55,85,51.8,20.2,22.1,132,46.2,4.8,2.5,36.4,12.5
2.0,80,10,409,46.5,6.2,1808.55,85,51.8,20.2,22.1,132,46.2,4.8,2.5,36.4,12.5
2.0,80,7,409,46.5,6.2,1808.55,85,51.8,20.2,22.1,132,46.2,4.8,2.5,36.4,12.5
2.0,80,3,409,46.5,6.2,1808.55,85,51.8,20.2,22.1,132,46.2,4.8,2.5,36.4,12.5
2.0,80,5,409,46.5,6.2,1808.55,85,51.8,20.2,22.1,132,46.2,4.8,2.5,36.4,12.5
1.9,80,3,502,48.2,6.5,2181.84,103,52.4,17.9,19.3,160,48.8,6.9,5.2,39.2,12.4
1.9,80,5,502,48.2,6.5,2181.84,103,52.4,17.9,19.3,160,48.8,6.9,5.2,39.2,12.4
1.9,100,3,258,50.8,9.2,2024.12,58,56.9,24.8,23.9,84,46.4,-0.4,-3.4,42.9,12.2
1.9,100,12,257,51.0,9.6,2092.15,58,56.9,24.8,23.9,84,46.4,-0.4,-3.4,42.9,12.2
1.9,100,5,258,50.8,9.2,2024.12,58,56.9,24.8,23.9,84,46.4,-0.4,-3.4,42.9,12.2
1.9,100,7,258,50.8,9.2,2024.12,58,56.9,24.8,23.9,84,46.4,-0.4,-3.4,42.9,12.2
1.9,100,10,258,50.8,9.2,2024.12,58,56.9,24.8,23.9,84,46.4,-0.4,-3.4,42.9,12.2
1.9,100,18,252,50.8,9.5,2046.18,58,56.9,24.8,23.9,82,46.3,-0.4,-3.2,44.8,12.2
1.9,100,20,251,51.0,9.9,2131.44,58,56.9,24.8,23.9,82,46.3,-0.4,-3.2,44.8,12.2
1.9,80,25,446,48.4,8.3,2811.51,98,52.0,17.8,18.8,146,47.9,6.5,5.0,38.6,12.2
1.9,100,25,233,51.1,10.9,2198.5,55,56.4,24.3,23.3,76,46.1,-0.1,-2.9,42.3,12.1
1.9,80,12,500,48.2,6.5,2223.77,103,52.4,17.9,19.3,159,48.4,6.4,4.9,39.2,12.1
1.9,80,10,501,48.1,6.3,2151.46,103,52.4,17.9,19.3,159,48.4,6.4,4.9,39.2,12.1
1.9,80,7,501,48.1,6.3,2151.46,103,52.4,17.9,19.3,159,48.4,6.4,4.9,39.2,12.1
1.9,80,20,477,48.0,6.7,2226.12,102,52.0,17.1,18.3,153,48.4,6.8,5.3,38.8,12.0
1.9,100,15,253,50.6,9.0,1964.34,58,56.9,24.8,23.9,83,45.8,-1.6,-4.7,44.8,11.6
1.9,80,18,488,47.5,5.5,1807.1,103,52.4,17.9,19.3,155,47.7,5.4,3.5,41.2,11.6
1.9,80,15,492,47.8,5.9,1936.45,103,52.4,17.9,19.3,157,47.8,5.3,3.5,41.2,11.6
