w_inj,w_poss,w_xgr,w_elo_weak,odds_min,gap_min,N_all,N_F1,N_F2,WR_all_%,F1_ROI_%,F2_ROI_%,KellyF2_%,MaxDD_F2_%,Avg_ROI_%
3,5,3,15,2.2,110,32,10,10,62.5,42.8,39.5,36.6,11.5,41.1
3,5,5,15,2.2,110,32,10,10,62.5,42.8,39.5,36.6,11.5,41.1
3,3,5,15,2.2,110,32,10,10,62.5,42.8,39.5,36.6,11.5,41.1
3,7,0,15,2.0,110,72,15,22,52.8,52.9,29.3,27.0,21.5,41.1
7,0,8,15,2.0,110,77,18,23,53.2,38.8,43.3,42.1,17.2,41.0
3,5,5,8,2.2,110,28,8,10,64.3,42.3,39.5,36.6,11.5,40.9
3,3,5,8,2.2,110,28,8,10,64.3,42.3,39.5,36.6,11.5,40.9
3,5,3,8,2.2,110,28,8,10,64.3,42.3,39.5,36.6,11.5,40.9
0,7,3,15,2.2,110,32,11,9,62.5,51.2,30.6,28.0,11.5,40.9
3,3,8,8,2.2,110,28,8,10,64.3,42.3,39.5,36.6,11.5,40.9
3,5,8,8,2.2,110,28,8,10,64.3,42.3,39.5,36.6,11.5,40.9
0,7,5,15,2.2,110,32,11,9,62.5,51.2,30.6,28.0,11.5,40.9
7,0,5,15,2.0,110,73,16,22,52.1,42.4,39.1,38.0,21.4,40.7
7,0,8,8,2.2,110,28,9,9,64.3,26.4,55.0,52.6,11.5,40.7
5,0,8,8,2.2,110,28,9,9,64.3,26.4,55.0,52.6,11.5,40.7
7,0,3,15,2.0,110,72,16,22,52.8,42.4,39.1,38.0,21.4,40.7
7,0,0,15,2.0,110,70,16,22,52.9,42.4,39.1,38.0,21.4,40.7
7,10,3,8,2.1,110,63,19,19,58.7,51.7,29.2,27.5,21.4,40.5
10,0,8,15,2.1,110,63,19,18,57.1,31.5,49.4,47.8,11.2,40.5
7,10,5,8,2.1,110,64,19,19,57.8,51.7,29.2,27.5,21.4,40.5
7,10,0,8,2.1,110,61,19,19,59.0,51.7,29.2,27.5,21.4,40.5
7,0,0,12,2.1,110,50,14,16,58.0,27.0,53.4,52.8,14.7,40.2
7,0,3,12,2.1,110,52,14,16,57.7,27.0,53.4,52.8,14.7,40.2
0,7,0,8,2.1,110,50,13,16,56.0,54.1,26.2,24.5,18.1,40.2
7,0,5,12,2.1,110,53,14,16,56.6,27.0,53.4,52.8,14.7,40.2
7,7,5,8,2.1,110,60,17,18,56.7,43.7,36.4,34.8,18.1,40.0
7,7,8,8,2.1,110,60,17,18,56.7,43.7,36.4,34.8,18.1,40.0
7,7,3,8,2.1,110,59,17,18,57.6,43.7,36.4,34.8,18.1,40.0
3,7,3,8,2.1,110,56,15,17,57.1,48.2,31.8,29.7,18.1,40.0
5,7,0,8,2.1,110,54,15,17,57.4,48.2,31.8,29.7,18.1,40.0
3,7,5,8,2.1,110,57,15,17,56.1,48.2,31.8,29.7,18.1,40.0
10,5,8,15,2.2,110,40,13,12,65.0,44.1,35.8,32.0,14.2,40.0
3,7,8,8,2.1,110,57,15,17,56.1,48.2,31.8,29.7,18.1,40.0
3,0,5,15,2.2,110,27,9,8,63.0,34.2,45.6,42.3,11.5,39.9
3,0,3,15,2.2,110,27,9,8,63.0,34.2,45.6,42.3,11.5,39.9
3,0,0,15,2.2,110,26,9,8,61.5,34.2,45.6,42.3,11.5,39.9
7,0,3,8,2.1,110,49,12,15,57.1,29.8,49.7,48.3,14.7,39.8
5,7,0,15,2.1,110,59,17,17,57.6,47.8,31.8,29.7,18.1,39.8
7,0,5,8,2.1,110,50,12,15,56.0,29.8,49.7,48.3,14.7,39.8
7,0,0,8,2.1,110,47,12,15,57.4,29.8,49.7,48.3,14.7,39.8
3,10,0,8,2.2,110,31,9,11,64.5,52.6,26.8,23.9,15.1,39.7
3,10,5,8,2.2,110,32,9,11,65.6,52.6,26.8,23.9,15.1,39.7
3,10,3,8,2.2,110,32,9,11,65.6,52.6,26.8,23.9,15.1,39.7
0,10,8,15,2.2,110,36,11,11,63.9,51.2,28.2,25.4,11.5,39.7
3,10,8,8,2.2,110,32,9,11,65.6,52.6,26.8,23.9,15.1,39.7
7,10,8,15,2.1,110,71,21,21,57.7,51.1,28.1,26.2,20.5,39.6
0,7,0,15,2.1,110,54,15,16,55.6,52.9,26.2,24.5,18.1,39.6
0,7,0,8,2.0,110,63,13,21,52.4,54.1,25.0,23.1,21.5,39.5
3,3,0,15,2.1,110,53,14,17,56.6,47.0,31.8,29.7,18.1,39.4
3,5,0,15,2.1,110,53,14,17,56.6,47.0,31.8,29.7,18.1,39.4
7,5,0,15,2.1,110,58,16,18,58.6,42.4,36.4,34.8,18.1,39.4
7,3,0,15,2.1,110,57,16,18,57.9,42.4,36.4,34.8,18.1,39.4
7,3,3,15,2.1,110,59,16,18,57.6,42.4,36.4,34.8,18.1,39.4
