N,Дата,Ліга,Ставка_на,Проти,Сторона,Коеф,WS_Gap,P_Elo,Результат,WIN/LOSS,Банкрол_до,Стейк_$,PnL_$,Банкрол_$,Зміна_%,Загальний_ROI_%
56,2024-10-27,La Liga,Atletico Madrid,Real Betis,AWAY,2.25,85,0.653,HOME,LOSS,1230.87,49.23,-49.23,1181.64,-4.0,18.2
57,2024-11-10,La Liga,Atletico Madrid,Mallorca,AWAY,2.3,90,0.686,AWAY,WIN,1181.64,47.27,61.45,1243.09,5.2,24.3
58,2024-11-10,Ligue 1,Reims,Le Havre,AWAY,2.25,104,0.572,AWAY,WIN,1243.09,49.72,62.15,1305.24,5.0,30.5
59,2024-11-10,Ligue 1,Stade Brestois 29,Montpellier,AWAY,2.5,123,0.621,HOME,LOSS,1305.24,52.21,-52.21,1253.03,-4.0,25.3
60,2024-11-24,Bundesliga,FSV Mainz 05,Holstein Kiel,AWAY,2.3,106,0.555,AWAY,WIN,1253.03,50.12,65.16,1318.19,5.2,31.8
61,2024-12-01,La Liga,Athletic Club,Rayo Vallecano,AWAY,2.45,115,0.698,AWAY,WIN,1318.19,52.73,76.46,1394.65,5.8,39.5
62,2024-12-01,Primeira Liga,Famalicao,Estoril,AWAY,2.3,93,0.579,HOME,LOSS,1394.65,55.79,-55.79,1338.86,-4.0,33.9
63,2024-12-07,Bundesliga,Werder Bremen,VfL Bochum,AWAY,2.25,118,0.673,AWAY,WIN,1338.86,53.55,66.94,1405.8,5.0,40.6
64,2024-12-14,Bundesliga,Werder Bremen,FC St. Pauli,AWAY,2.5,99,0.573,AWAY,WIN,1405.8,56.23,84.34,1490.14,6.0,49.0
65,2024-12-14,Primeira Liga,Moreirense,Nacional,AWAY,2.3,82,0.622,HOME,LOSS,1490.14,59.61,-59.61,1430.53,-4.0,43.1
66,2024-12-14,Ligue 1,Monaco,Reims,AWAY,2.2,109,0.606,DRAW,LOSS,1430.53,57.22,-57.22,1373.31,-4.0,37.3
67,2024-12-15,Ligue 1,Nice,Montpellier,AWAY,2.25,90,0.695,DRAW,LOSS,1373.31,54.93,-54.93,1318.38,-4.0,31.8
68,2024-12-15,Primeira Liga,Santa Clara,Arouca,AWAY,2.3,102,0.708,HOME,LOSS,1318.38,52.74,-52.74,1265.64,-4.0,26.6
69,2024-12-21,Serie A,Bologna,Torino,AWAY,2.4,94,0.617,AWAY,WIN,1265.64,50.63,70.88,1336.52,5.6,33.7
70,2025-01-04,Serie A,Napoli,Fiorentina,AWAY,2.45,82,0.572,AWAY,WIN,1336.52,53.46,77.52,1414.04,5.8,41.4
71,2025-01-10,Bundesliga,Bayer Leverkusen,Borussia Dortmund,AWAY,2.25,112,0.645,AWAY,WIN,1414.04,56.56,70.7,1484.74,5.0,48.5
72,2025-01-11,Ligue 1,Marseille,Rennes,AWAY,2.3,101,0.679,AWAY,WIN,1484.74,59.39,77.21,1561.95,5.2,56.2
73,2025-01-11,Ligue 1,Nice,Reims,AWAY,2.55,84,0.614,AWAY,WIN,1561.95,62.48,96.84,1658.79,6.2,65.9
74,2025-01-11,La Liga,Girona,Alaves,AWAY,2.35,103,0.651,AWAY,WIN,1658.79,66.35,89.57,1748.36,5.4,74.8
75,2025-01-11,Bundesliga,Union Berlin,1. FC Heidenheim,AWAY,2.55,107,0.573,HOME,LOSS,1748.36,69.93,-69.93,1678.43,-4.0,67.8
76,2025-01-19,La Liga,Athletic Club,Celta Vigo,AWAY,2.6,86,0.711,AWAY,WIN,1678.43,67.14,107.42,1785.85,6.4,78.6
77,2025-01-19,La Liga,Real Sociedad,Valencia,AWAY,2.5,102,0.705,HOME,LOSS,1785.85,71.43,-71.43,1714.42,-4.0,71.4
78,2025-01-25,Ligue 1,Lille,Strasbourg,AWAY,2.35,91,0.586,HOME,LOSS,1714.42,68.58,-68.58,1645.84,-4.0,64.6
79,2025-01-26,Serie A,AS Roma,Udinese,AWAY,2.25,82,0.553,AWAY,WIN,1645.84,65.83,82.29,1728.13,5.0,72.8
80,2025-01-26,Ligue 1,Stade Brestois 29,Le Havre,AWAY,2.25,110,0.649,AWAY,WIN,1728.13,69.13,86.41,1814.54,5.0,81.5
81,2025-01-27,Primeira Liga,GIL Vicente,AVS,AWAY,2.4,92,0.582,HOME,LOSS,1814.54,72.58,-72.58,1741.96,-4.0,74.2
82,2025-02-01,Bundesliga,RB Leipzig,Union Berlin,AWAY,2.45,102,0.724,DRAW,LOSS,1741.96,69.68,-69.68,1672.28,-4.0,67.2
83,2025-02-02,Serie A,Napoli,AS Roma,AWAY,2.45,90,0.692,DRAW,LOSS,1672.28,66.89,-66.89,1605.39,-4.0,60.5
84,2025-02-02,La Liga,Athletic Club,Real Betis,AWAY,2.35,123,0.67,DRAW,LOSS,1605.39,64.22,-64.22,1541.17,-4.0,54.1
85,2025-02-23,Serie A,Napoli,Como,AWAY,2.25,123,0.746,HOME,LOSS,1541.17,61.65,-61.65,1479.52,-4.0,48.0
86,2025-03-01,Bundesliga,Borussia Mönchengladbach,1. FC Heidenheim,AWAY,2.35,132,0.726,AWAY,WIN,1479.52,59.18,79.89,1559.41,5.4,55.9
87,2025-03-02,Ligue 1,Strasbourg,Auxerre,AWAY,2.45,91,0.562,AWAY,WIN,1559.41,62.38,90.45,1649.86,5.8,65.0
88,2025-03-08,Serie A,Torino,Parma,AWAY,2.4,104,0.654,DRAW,LOSS,1649.86,65.99,-65.99,1583.87,-4.0,58.4
89,2025-03-08,La Liga,Villarreal,Alaves,AWAY,2.5,109,0.728,HOME,LOSS,1583.87,63.35,-63.35,1520.52,-4.0,52.1
90,2025-03-09,Ligue 1,Strasbourg,Nantes,AWAY,2.5,90,0.635,AWAY,WIN,1520.52,60.82,91.23,1611.75,6.0,61.2
91,2025-03-15,Serie A,Parma,Monza,AWAY,2.45,85,0.595,DRAW,LOSS,1611.75,64.47,-64.47,1547.28,-4.0,54.7
92,2025-03-16,Serie A,Juventus,Fiorentina,AWAY,2.35,107,0.629,HOME,LOSS,1547.28,61.89,-61.89,1485.39,-4.0,48.5
93,2025-03-16,Bundesliga,Bayer Leverkusen,VfB Stuttgart,AWAY,2.2,117,0.704,AWAY,WIN,1485.39,59.42,71.3,1556.69,4.8,55.7
94,2025-03-16,La Liga,Athletic Club,Sevilla,AWAY,2.35,114,0.654,AWAY,WIN,1556.69,62.27,84.06,1640.75,5.4,64.1
95,2025-03-30,Ligue 1,Nantes,Le Havre,AWAY,2.4,90,0.595,HOME,LOSS,1640.75,65.63,-65.63,1575.12,-4.0,57.5
96,2025-03-30,La Liga,Villarreal,Getafe,AWAY,2.25,99,0.577,AWAY,WIN,1575.12,63.0,78.75,1653.87,5.0,65.4
97,2025-03-30,Serie A,Atalanta,Fiorentina,AWAY,2.2,94,0.598,HOME,LOSS,1653.87,66.15,-66.15,1587.72,-4.0,58.8
98,2025-04-04,Primeira Liga,Estoril,AVS,AWAY,2.4,106,0.631,AWAY,WIN,1587.72,63.51,88.91,1676.63,5.6,67.7
99,2025-04-05,Bundesliga,VfB Stuttgart,VfL Bochum,AWAY,2.45,98,0.651,AWAY,WIN,1676.63,67.07,97.25,1773.88,5.8,77.4
100,2025-04-06,La Liga,Real Sociedad,Las Palmas,AWAY,2.35,99,0.626,AWAY,WIN,1773.88,70.96,95.8,1869.68,5.4,87.0
101,2025-04-06,La Liga,Atletico Madrid,Sevilla,AWAY,2.3,88,0.71,AWAY,WIN,1869.68,74.79,97.23,1966.91,5.2,96.7
102,2025-04-11,Bundesliga,RB Leipzig,VfL Wolfsburg,AWAY,2.3,107,0.595,AWAY,WIN,1966.91,78.68,102.28,2069.19,5.2,106.9
103,2025-04-12,Bundesliga,FSV Mainz 05,1899 Hoffenheim,AWAY,2.55,94,0.624,HOME,LOSS,2069.19,82.77,-82.77,1986.42,-4.0,98.6
104,2025-04-12,Primeira Liga,Nacional,Boavista,AWAY,2.5,88,0.622,AWAY,WIN,1986.42,79.46,119.19,2105.61,6.0,110.6
105,2025-04-12,Ligue 1,Lille,Toulouse,AWAY,2.55,83,0.604,AWAY,WIN,2105.61,84.22,130.54,2236.15,6.2,123.6
106,2025-04-19,Serie A,Como,Lecce,AWAY,2.2,125,0.638,AWAY,WIN,2236.15,89.45,107.34,2343.49,4.8,134.3
107,2025-04-19,Primeira Liga,Casa Pia,AVS,AWAY,2.45,100,0.625,DRAW,LOSS,2343.49,93.74,-93.74,2249.75,-4.0,125.0
108,2025-04-21,La Liga,Real Betis,Girona,AWAY,2.55,90,0.663,AWAY,WIN,2249.75,89.99,139.48,2389.23,6.2,138.9
109,2025-04-26,Bundesliga,Borussia Mönchengladbach,Holstein Kiel,AWAY,2.38,115,0.676,HOME,LOSS,2389.23,95.57,-95.57,2293.66,-4.0,129.4
110,2025-05-03,Bundesliga,Werder Bremen,Union Berlin,AWAY,2.35,105,0.581,DRAW,LOSS,2293.66,91.75,-91.75,2201.91,-4.0,120.2
