gap_min,dom_min,odds_min,bets,win_rate,avg_odds,flat_roi,flat10_bank,flat10_pnl,flat20_bank,flat20_pnl,flat50_bank,flat50_pnl,kelly1_bank,kelly1_pnl,kelly1_roi,kelly2_bank,kelly2_pnl,kelly2_roi,kelly3_bank,kelly3_pnl,kelly3_roi,kelly4_bank,kelly4_pnl,kelly4_roi,kelly6_bank,kelly6_pnl,kelly6_roi,kelly8_bank,kelly8_pnl,kelly8_roi,kelly10_bank,kelly10_pnl,kelly10_roi
60,60,2.0,287,0.5923344947735192,2.5554355400696864,43.68292682926829,2253.7,1253.7,3507.4,2507.4,7268.5,6268.5,3419.38,2419.38,42.78,11145.85,10145.85,41.68,34846.59,33846.59,40.5,103764.82,102764.82,39.11,824278.18,823278.18,36.44,4364820.68,4363820.68,34.35,11738494.12,11737494.12,31.51
60,50,2.0,287,0.5923344947735192,2.5554355400696864,43.68292682926829,2253.7,1253.7,3507.4,2507.4,7268.5,6268.5,3419.38,2419.38,42.78,11145.85,10145.85,41.68,34846.59,33846.59,40.5,103764.82,102764.82,39.11,824278.18,823278.18,36.44,4364820.68,4363820.68,34.35,11738494.12,11737494.12,31.51
80,50,1.8,238,0.6638655462184874,2.190252100840336,43.6344537815126,2038.5,1038.5,3077.0,2077.0,6192.5,5192.5,2782.04,1782.04,42.47,7524.31,6524.31,41.28,19879.16,18879.16,40.13,48909.1,47909.1,38.68,227453.52,226453.52,36.36,764290.9,763290.9,35.4,1816627.11,1815627.11,33.65
80,70,1.8,238,0.6638655462184874,2.190252100840336,43.6344537815126,2038.5,1038.5,3077.0,2077.0,6192.5,5192.5,2782.04,1782.04,42.47,7524.31,6524.31,41.28,19879.16,18879.16,40.13,48909.1,47909.1,38.68,227453.52,226453.52,36.36,764290.9,763290.9,35.4,1816627.11,1815627.11,33.65
80,60,1.8,238,0.6638655462184874,2.190252100840336,43.6344537815126,2038.5,1038.5,3077.0,2077.0,6192.5,5192.5,2782.04,1782.04,42.47,7524.31,6524.31,41.28,19879.16,18879.16,40.13,48909.1,47909.1,38.68,227453.52,226453.52,36.36,764290.9,763290.9,35.4,1816627.11,1815627.11,33.65
80,80,1.8,238,0.6638655462184874,2.190252100840336,43.6344537815126,2038.5,1038.5,3077.0,2077.0,6192.5,5192.5,2782.04,1782.04,42.47,7524.31,6524.31,41.28,19879.16,18879.16,40.13,48909.1,47909.1,38.68,227453.52,226453.52,36.36,764290.9,763290.9,35.4,1816627.11,1815627.11,33.65
70,80,1.8,286,0.6503496503496503,2.2525174825174825,43.370629370629366,2240.4,1240.4,3480.8,2480.8,7202.0,6202.0,3390.4,2390.4,40.74,11034.79,10034.79,38.59,34627.62,33627.62,36.72,99960.41,98960.41,34.8,635640.11,634640.11,32.2,2716922.91,2715922.91,31.87,7158467.89,7157467.89,30.52
60,70,2.0,265,0.5962264150943396,2.5173962264150944,42.67169811320755,2130.8,1130.8,3261.6,2261.6,6654.0,5654.0,3032.38,2032.38,42.3,8813.69,7813.69,41.96,24700.73,23700.73,41.65,66272.68,65272.68,41.12,435966.33,434966.33,40.39,2003021.6,2002021.6,40.32,4882821.57,4881821.57,38.4
70,50,1.7,372,0.6693548387096774,2.186478494623656,42.403225806451616,2577.4,1577.4,4154.8,3154.8,8887.0,7887.0,4678.7,3678.7,39.52,20747.33,19747.33,37.35,85737.42,84737.42,35.48,314567.79,313567.79,33.69,3071389.59,3070389.59,31.73,17747969.01,17746969.01,31.81,53827329.4,53826329.4,30.64
70,60,1.7,372,0.6693548387096774,2.186478494623656,42.403225806451616,2577.4,1577.4,4154.8,3154.8,8887.0,7887.0,4678.7,3678.7,39.52,20747.33,19747.33,37.35,85737.42,84737.42,35.48,314567.79,313567.79,33.69,3071389.59,3070389.59,31.73,17747969.01,17746969.01,31.81,53827329.4,53826329.4,30.64
70,70,1.7,372,0.6693548387096774,2.186478494623656,42.403225806451616,2577.4,1577.4,4154.8,3154.8,8887.0,7887.0,4678.7,3678.7,39.52,20747.33,19747.33,37.35,85737.42,84737.42,35.48,314567.79,313567.79,33.69,3071389.59,3070389.59,31.73,17747969.01,17746969.01,31.81,53827329.4,53826329.4,30.64
