N,Дата,Ліга,Ставка_на,Проти,Коеф,WS_Gap,P_Elo,Результат,WIN/LOSS,Банкрол_до,Стейк_$,PnL_$,Банкрол_$,Зміна_%,Загальний_ROI_%
216,2025-03-08,Serie A,Torino,Parma,2.4,89,0.669,DRAW,LOSS,474.61,18.98,-18.98,455.63,-4.0,-54.4
217,2025-03-08,La Liga,Villarreal,Alaves,2.5,109,0.728,HOME,LOSS,455.63,18.23,-18.23,437.4,-4.0,-56.3
218,2025-03-09,Jupiler Pro League,Anderlecht,KVC Westerlo,2.2,84,0.663,HOME,LOSS,437.4,17.5,-17.5,419.9,-4.0,-58.0
219,2025-03-09,Ligue 1,Strasbourg,Nantes,2.5,87,0.652,AWAY,WIN,419.9,16.8,25.2,445.1,6.0,-55.5
220,2025-03-15,Serie A,Parma,Monza,2.45,88,0.617,DRAW,LOSS,445.1,17.8,-17.8,427.3,-4.0,-57.3
221,2025-03-16,La Liga,Athletic Club,Sevilla,2.35,114,0.654,AWAY,WIN,427.3,17.09,23.07,450.37,5.4,-55.0
222,2025-03-16,Serie A,Juventus,Fiorentina,2.35,107,0.643,HOME,LOSS,450.37,18.01,-18.01,432.36,-4.0,-56.8
223,2025-03-16,Jupiler Pro League,KVC Westerlo,Beerschot VA,2.3,97,0.601,AWAY,WIN,432.36,17.29,22.48,454.84,5.2,-54.5
224,2025-03-16,Bundesliga,Bayer Leverkusen,VfB Stuttgart,2.2,120,0.721,AWAY,WIN,454.84,18.19,21.83,476.67,4.8,-52.3
225,2025-03-29,Bundesliga,Werder Bremen,Holstein Kiel,2.15,91,0.622,AWAY,WIN,476.67,19.07,21.93,498.6,4.6,-50.1
226,2025-03-29,Jupiler Pro League,St. Truiden,Beerschot VA,2.1,95,0.6,AWAY,WIN,498.6,19.94,21.93,520.53,4.4,-47.9
227,2025-03-30,La Liga,Villarreal,Getafe,2.25,99,0.577,AWAY,WIN,520.53,20.82,26.02,546.55,5.0,-45.3
228,2025-03-30,Serie A,Atalanta,Fiorentina,2.2,94,0.617,HOME,LOSS,546.55,21.86,-21.86,524.69,-4.0,-47.5
229,2025-03-30,Ligue 1,Nantes,Le Havre,2.4,87,0.604,HOME,LOSS,524.69,20.99,-20.99,503.7,-4.0,-49.6
230,2025-03-30,Primeira Liga,Guimaraes,Moreirense,2.1,98,0.647,DRAW,LOSS,503.7,20.15,-20.15,483.55,-4.0,-51.6
231,2025-04-01,Primeira Liga,GIL Vicente,Boavista,2.1,113,0.602,AWAY,WIN,483.55,19.34,21.27,504.82,4.4,-49.5
232,2025-04-04,Serie B,Cremonese,Reggiana,2.1,115,0.652,AWAY,WIN,504.82,20.19,22.21,527.03,4.4,-47.3
233,2025-04-04,Primeira Liga,Estoril,AVS,2.4,106,0.59,AWAY,WIN,527.03,21.08,29.51,556.54,5.6,-44.3
234,2025-04-05,Bundesliga,VfB Stuttgart,VfL Bochum,2.45,98,0.701,AWAY,WIN,556.54,22.26,32.28,588.82,5.8,-41.1
235,2025-04-06,La Liga,Real Sociedad,Las Palmas,2.35,99,0.626,AWAY,WIN,588.82,23.55,31.79,620.61,5.4,-37.9
236,2025-04-06,La Liga,Atletico Madrid,Sevilla,2.3,88,0.71,AWAY,WIN,620.61,24.82,32.27,652.88,5.2,-34.7
237,2025-04-06,Ligue 1,Strasbourg,Reims,2.1,121,0.722,AWAY,WIN,652.88,26.12,28.73,681.61,4.4,-31.8
238,2025-04-06,Jupiler Pro League,Genk,Anderlecht,2.3,95,0.688,AWAY,WIN,681.61,27.26,35.44,717.05,5.2,-28.3
239,2025-04-11,Bundesliga,RB Leipzig,VfL Wolfsburg,2.3,107,0.623,AWAY,WIN,717.05,28.68,37.28,754.33,5.2,-24.6
240,2025-04-12,Serie B,Pisa,Reggiana,2.2,95,0.72,AWAY,WIN,754.33,30.17,36.2,790.53,4.8,-20.9
241,2025-04-12,Bundesliga,FSV Mainz 05,1899 Hoffenheim,2.55,94,0.654,HOME,LOSS,790.53,31.62,-31.62,758.91,-4.0,-24.1
242,2025-04-12,Primeira Liga,Nacional,Boavista,2.5,88,0.665,AWAY,WIN,758.91,30.36,45.54,804.45,6.0,-19.6
243,2025-04-12,Ligue 1,Lille,Toulouse,2.55,80,0.633,AWAY,WIN,804.45,32.18,49.88,854.33,6.2,-14.6
244,2025-04-12,Serie B,Sassuolo,Modena,2.3,93,0.649,AWAY,WIN,854.33,34.17,44.42,898.75,5.2,-10.1
245,2025-04-12,Eredivisie,GO Ahead Eagles,NAC Breda,2.15,85,0.667,DRAW,LOSS,898.75,35.95,-35.95,862.8,-4.0,-13.7
246,2025-04-13,Eredivisie,Twente,PEC Zwolle,2.15,87,0.603,DRAW,LOSS,862.8,34.51,-34.51,828.29,-4.0,-17.2
247,2025-04-18,Primeira Liga,Santa Clara,Rio Ave,2.15,92,0.581,DRAW,LOSS,828.29,33.13,-33.13,795.16,-4.0,-20.5
248,2025-04-19,Serie A,Como,Lecce,2.2,125,0.662,AWAY,WIN,795.16,31.81,38.17,833.33,4.8,-16.7
249,2025-04-19,Primeira Liga,Casa Pia,AVS,2.45,100,0.603,DRAW,LOSS,833.33,33.33,-33.33,800.0,-4.0,-20.0
250,2025-04-20,Eredivisie,Ajax,Utrecht,2.1,82,0.664,HOME,LOSS,800.0,32.0,-32.0,768.0,-4.0,-23.2
251,2025-04-21,La Liga,Real Betis,Girona,2.55,90,0.663,AWAY,WIN,768.0,30.72,47.62,815.62,6.2,-18.4
252,2025-04-22,Jupiler Pro League,Charleroi,Dender,2.2,88,0.603,HOME,LOSS,815.62,32.62,-32.62,783.0,-4.0,-21.7
253,2025-04-23,Serie A,Lazio,Genoa,2.15,85,0.638,AWAY,WIN,783.0,31.32,36.02,819.02,4.6,-18.1
254,2025-04-25,Serie B,Sassuolo,Cesena,2.35,117,0.679,AWAY,WIN,819.02,32.76,44.23,863.25,5.4,-13.7
255,2025-04-25,Primeira Liga,SC Braga,Famalicao,2.1,95,0.703,DRAW,LOSS,863.25,34.53,-34.53,828.72,-4.0,-17.1
256,2025-04-26,Bundesliga,Borussia Mönchengladbach,Holstein Kiel,2.38,115,0.662,HOME,LOSS,828.72,33.15,-33.15,795.57,-4.0,-20.4
257,2025-04-27,Eredivisie,GO Ahead Eagles,Almere City FC,2.55,81,0.732,DRAW,LOSS,795.57,31.82,-31.82,763.75,-4.0,-23.6
258,2025-05-01,Serie B,Cremonese,Sampdoria,2.2,111,0.655,DRAW,LOSS,763.75,30.55,-30.55,733.2,-4.0,-26.7
259,2025-05-03,La Liga,Atletico Madrid,Alaves,2.15,103,0.732,DRAW,LOSS,733.2,29.33,-29.33,703.87,-4.0,-29.6
260,2025-05-03,Serie A,Como,Parma,2.15,105,0.584,AWAY,WIN,703.87,28.15,32.37,736.24,4.6,-26.4
261,2025-05-03,Bundesliga,Werder Bremen,Union Berlin,2.35,105,0.588,DRAW,LOSS,736.24,29.45,-29.45,706.79,-4.0,-29.3
262,2025-05-04,Serie B,Spezia,Reggiana,2.4,100,0.681,HOME,LOSS,706.79,28.27,-28.27,678.52,-4.0,-32.1
263,2025-05-04,Bundesliga,Bayer Leverkusen,SC Freiburg,2.25,83,0.745,DRAW,LOSS,678.52,27.14,-27.14,651.38,-4.0,-34.9
264,2025-05-09,Serie B,Bari,Cittadella,2.4,84,0.622,HOME,LOSS,651.38,26.06,-26.06,625.32,-4.0,-37.5
265,2025-05-10,Bundesliga,FSV Mainz 05,VfL Bochum,2.3,99,0.71,AWAY,WIN,625.32,25.01,32.51,657.83,5.2,-34.2
266,2025-05-10,Bundesliga,SC Freiburg,Holstein Kiel,2.1,111,0.676,AWAY,WIN,657.83,26.31,28.94,686.77,4.4,-31.3
267,2025-05-10,La Liga,Villarreal,Girona,2.38,115,0.682,AWAY,WIN,686.77,27.47,37.91,724.68,5.5,-27.5
268,2025-05-10,Jupiler Pro League,Union St. Gilloise,Anderlecht,2.1,83,0.678,AWAY,WIN,724.68,28.99,31.89,756.57,4.4,-24.3
269,2025-05-10,Eredivisie,Sparta Rotterdam,Almere City FC,2.5,93,0.635,AWAY,WIN,756.57,30.26,45.39,801.96,6.0,-19.8
270,2025-05-14,Eredivisie,PEC Zwolle,Willem II,2.5,91,0.671,AWAY,WIN,801.96,32.08,48.12,850.08,6.0,-15.0
271,2025-05-15,La Liga,Atletico Madrid,Osasuna,2.1,103,0.686,HOME,LOSS,850.08,34.0,-34.0,816.08,-4.0,-18.4
272,2025-05-15,La Liga,Real Betis,Rayo Vallecano,2.3,90,0.639,DRAW,LOSS,816.08,32.64,-32.64,783.44,-4.0,-21.7
273,2025-05-15,La Liga,Athletic Club,Getafe,2.5,103,0.755,AWAY,WIN,783.44,31.34,47.01,830.45,6.0,-17.0
274,2025-05-17,Bundesliga,Werder Bremen,1. FC Heidenheim,2.5,92,0.648,AWAY,WIN,830.45,33.22,49.83,880.28,6.0,-12.0
275,2025-05-17,Serie A,Atalanta,Genoa,2.25,131,0.738,AWAY,WIN,880.28,35.21,44.01,924.29,5.0,-7.6
276,2025-05-17,Ligue 1,Monaco,Lens,2.2,115,0.651,HOME,LOSS,924.29,36.97,-36.97,887.32,-4.0,-11.3
277,2025-05-18,Eredivisie,Utrecht,Fortuna Sittard,2.2,99,0.678,DRAW,LOSS,887.32,35.49,-35.49,851.83,-4.0,-14.8
278,2025-05-18,Eredivisie,GO Ahead Eagles,Waalwijk,2.45,111,0.712,HOME,LOSS,851.83,34.07,-34.07,817.76,-4.0,-18.2
279,2025-05-18,La Liga,Real Madrid,Sevilla,2.15,137,0.825,AWAY,WIN,817.76,32.71,37.62,855.38,4.6,-14.5
280,2025-05-18,La Liga,Leganes,Las Palmas,2.38,83,0.577,AWAY,WIN,855.38,34.22,47.22,902.6,5.5,-9.7
281,2025-05-18,Serie A,Como,Hellas Verona,2.4,136,0.68,DRAW,LOSS,902.6,36.1,-36.1,866.5,-4.0,-13.3
282,2025-05-25,La Liga,Atletico Madrid,Girona,2.2,116,0.744,AWAY,WIN,866.5,34.66,41.59,908.09,4.8,-9.2
283,2025-05-25,Serie A,Fiorentina,Udinese,2.25,102,0.684,AWAY,WIN,908.09,36.32,45.4,953.49,5.0,-4.7
284,2025-07-27,Jupiler Pro League,Charleroi,OH Leuven,2.38,104,0.664,DRAW,LOSS,953.49,38.14,-38.14,915.35,-4.0,-8.5
285,2025-08-10,Jupiler Pro League,Charleroi,RAAL La Louvière,2.2,101,0.613,HOME,LOSS,915.35,36.61,-36.61,878.74,-4.0,-12.1
